,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,Kansas City,315.4,360.7,329.0,312.6,318.2,288.5,2022-11-23,/nfl/stat/passing-yards-per-game
1,2,Miami,293.8,322.3,296.0,271.0,316.6,214.8,2022-11-23,/nfl/stat/passing-yards-per-game
2,3,Buffalo,283.4,226.7,186.0,318.0,260.3,258.2,2022-11-23,/nfl/stat/passing-yards-per-game
3,4,Cincinnati,271.3,254.0,346.0,321.3,238.0,256.0,2022-11-23,/nfl/stat/passing-yards-per-game
4,5,Tampa Bay,269.8,278.3,258.0,310.4,229.2,304.2,2022-11-23,/nfl/stat/passing-yards-per-game
5,6,LA Chargers,266.8,237.3,280.0,269.0,264.6,282.4,2022-11-23,/nfl/stat/passing-yards-per-game
6,7,New Orleans,237.5,195.7,235.0,207.2,273.8,187.4,2022-11-23,/nfl/stat/passing-yards-per-game
7,8,Las Vegas,235.5,259.3,298.0,221.3,245.0,269.4,2022-11-23,/nfl/stat/passing-yards-per-game
8,8,San Francisco,235.5,238.3,228.0,249.0,226.5,236.6,2022-11-23,/nfl/stat/passing-yards-per-game
9,10,Minnesota,234.9,229.7,110.0,229.8,240.0,249.3,2022-11-23,/nfl/stat/passing-yards-per-game
10,11,Detroit,233.8,176.7,165.0,252.4,215.2,211.6,2022-11-23,/nfl/stat/passing-yards-per-game
11,12,Philadelphia,228.1,186.7,173.0,221.2,235.0,202.7,2022-11-23,/nfl/stat/passing-yards-per-game
12,13,Seattle,227.8,232.3,244.0,208.8,240.5,201.9,2022-11-23,/nfl/stat/passing-yards-per-game
13,14,Cleveland,227.0,256.3,316.0,236.4,217.6,195.3,2022-11-23,/nfl/stat/passing-yards-per-game
14,15,Denver,223.8,234.7,226.0,211.2,236.4,211.4,2022-11-23,/nfl/stat/passing-yards-per-game
15,16,Arizona,223.0,202.3,247.0,208.4,235.2,244.3,2022-11-23,/nfl/stat/passing-yards-per-game
16,17,Indianapolis,222.6,145.3,185.0,253.4,197.0,197.7,2022-11-23,/nfl/stat/passing-yards-per-game
17,18,Jacksonville,222.6,196.3,240.0,266.5,193.3,202.1,2022-11-23,/nfl/stat/passing-yards-per-game
18,19,Green Bay,222.3,235.3,215.0,219.2,224.8,250.6,2022-11-23,/nfl/stat/passing-yards-per-game
19,20,LA Rams,211.9,172.0,188.0,225.7,191.3,277.5,2022-11-23,/nfl/stat/passing-yards-per-game
20,21,Washington,209.8,165.0,191.0,224.8,197.3,202.4,2022-11-23,/nfl/stat/passing-yards-per-game
21,22,Dallas,209.4,270.3,307.0,210.6,208.2,279.4,2022-11-23,/nfl/stat/passing-yards-per-game
22,23,Pittsburgh,204.4,189.7,249.0,186.8,222.0,221.1,2022-11-23,/nfl/stat/passing-yards-per-game
23,24,New England,202.2,164.0,198.0,202.2,202.2,226.3,2022-11-23,/nfl/stat/passing-yards-per-game
24,25,NY Jets,201.5,172.0,44.0,241.6,161.4,208.3,2022-11-23,/nfl/stat/passing-yards-per-game
25,26,Houston,196.4,196.7,169.0,171.8,221.0,194.4,2022-11-23,/nfl/stat/passing-yards-per-game
26,27,Baltimore,187.4,182.0,193.0,181.8,193.0,233.0,2022-11-23,/nfl/stat/passing-yards-per-game
27,28,NY Giants,177.3,215.7,324.0,176.2,179.0,188.0,2022-11-23,/nfl/stat/passing-yards-per-game
28,29,Carolina,175.5,144.7,169.0,175.0,176.2,190.5,2022-11-23,/nfl/stat/passing-yards-per-game
29,30,Tennessee,165.4,207.0,320.0,219.5,129.3,201.7,2022-11-23,/nfl/stat/passing-yards-per-game
30,31,Atlanta,154.5,132.7,131.0,158.5,149.6,218.4,2022-11-23,/nfl/stat/passing-yards-per-game
31,32,Chicago,128.1,131.3,128.0,121.4,133.7,188.6,2022-11-23,/nfl/stat/passing-yards-per-game
