,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,NY Giants,0.06,0.08,0.1,0.06,0.07,0.05,2022-10-25,/nfl/stat/opponent-penalties-per-play
1,2,Carolina,0.06,0.06,0.03,0.06,0.06,0.05,2022-10-25,/nfl/stat/opponent-penalties-per-play
2,3,Tennessee,0.06,0.06,0.03,0.05,0.07,0.05,2022-10-25,/nfl/stat/opponent-penalties-per-play
3,4,Denver,0.06,0.07,0.09,0.07,0.05,0.05,2022-10-25,/nfl/stat/opponent-penalties-per-play
4,5,Minnesota,0.06,0.07,0.08,0.04,0.07,0.04,2022-10-25,/nfl/stat/opponent-penalties-per-play
5,6,Houston,0.06,0.05,0.04,0.05,0.06,0.04,2022-10-25,/nfl/stat/opponent-penalties-per-play
6,7,Tampa Bay,0.05,0.04,0.03,0.05,0.06,0.03,2022-10-25,/nfl/stat/opponent-penalties-per-play
7,8,Las Vegas,0.05,0.04,0.03,0.06,0.05,0.05,2022-10-25,/nfl/stat/opponent-penalties-per-play
8,9,Chicago,0.05,0.05,0.03,0.06,0.04,0.04,2022-10-25,/nfl/stat/opponent-penalties-per-play
9,10,Green Bay,0.05,0.06,0.06,0.06,0.05,0.04,2022-10-25,/nfl/stat/opponent-penalties-per-play
10,11,Dallas,0.05,0.04,0.07,0.06,0.03,0.05,2022-10-25,/nfl/stat/opponent-penalties-per-play
11,12,Detroit,0.05,0.07,0.06,0.06,0.04,0.04,2022-10-25,/nfl/stat/opponent-penalties-per-play
12,13,NY Jets,0.05,0.06,0.03,0.05,0.05,0.04,2022-10-25,/nfl/stat/opponent-penalties-per-play
13,14,New Orleans,0.05,0.05,0.03,0.06,0.04,0.04,2022-10-25,/nfl/stat/opponent-penalties-per-play
14,15,Kansas City,0.05,0.07,0.08,0.05,0.05,0.05,2022-10-25,/nfl/stat/opponent-penalties-per-play
15,16,Washington,0.05,0.06,0.08,0.07,0.02,0.04,2022-10-25,/nfl/stat/opponent-penalties-per-play
16,17,Buffalo,0.05,0.05,0.04,0.06,0.04,0.04,2022-10-25,/nfl/stat/opponent-penalties-per-play
17,18,Seattle,0.05,0.05,0.05,0.05,0.04,0.04,2022-10-25,/nfl/stat/opponent-penalties-per-play
18,19,LA Chargers,0.05,0.06,0.05,0.04,0.05,0.04,2022-10-25,/nfl/stat/opponent-penalties-per-play
19,20,Atlanta,0.05,0.04,0.05,0.05,0.04,0.06,2022-10-25,/nfl/stat/opponent-penalties-per-play
20,21,Cleveland,0.05,0.05,0.03,0.06,0.03,0.05,2022-10-25,/nfl/stat/opponent-penalties-per-play
21,22,Arizona,0.05,0.04,0.06,0.04,0.06,0.05,2022-10-25,/nfl/stat/opponent-penalties-per-play
22,23,Jacksonville,0.04,0.05,0.06,0.04,0.04,0.05,2022-10-25,/nfl/stat/opponent-penalties-per-play
23,24,San Francisco,0.04,0.05,0.06,0.05,0.04,0.05,2022-10-25,/nfl/stat/opponent-penalties-per-play
24,25,Pittsburgh,0.04,0.04,0.04,0.05,0.04,0.05,2022-10-25,/nfl/stat/opponent-penalties-per-play
25,26,Cincinnati,0.04,0.04,0.03,0.04,0.04,0.05,2022-10-25,/nfl/stat/opponent-penalties-per-play
26,27,Philadelphia,0.04,0.04,0.08,0.05,0.03,0.04,2022-10-25,/nfl/stat/opponent-penalties-per-play
27,28,Baltimore,0.04,0.04,0.05,0.05,0.03,0.04,2022-10-25,/nfl/stat/opponent-penalties-per-play
28,29,LA Rams,0.04,0.03,0.03,0.04,0.04,0.04,2022-10-25,/nfl/stat/opponent-penalties-per-play
29,30,Indianapolis,0.04,0.03,0.02,0.04,0.03,0.05,2022-10-25,/nfl/stat/opponent-penalties-per-play
30,31,New England,0.04,0.05,0.03,0.04,0.04,0.05,2022-10-25,/nfl/stat/opponent-penalties-per-play
31,32,Miami,0.03,0.03,0.04,0.03,0.03,0.05,2022-10-25,/nfl/stat/opponent-penalties-per-play
