,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,Dallas,85.00%,61.11%,100.00%,93.55%,75.86%,80.18%,2022-11-29,/nfl/stat/kickoff-touchback-pct
1,2,Washington,81.82%,76.47%,60.00%,84.62%,79.31%,59.49%,2022-11-29,/nfl/stat/kickoff-touchback-pct
2,3,NY Jets,80.77%,84.62%,100.00%,86.21%,73.91%,65.75%,2022-11-29,/nfl/stat/kickoff-touchback-pct
3,4,LA Rams,77.78%,75.00%,100.00%,70.83%,85.71%,64.80%,2022-11-29,/nfl/stat/kickoff-touchback-pct
4,5,Baltimore,77.42%,81.25%,100.00%,73.08%,80.56%,52.22%,2022-11-29,/nfl/stat/kickoff-touchback-pct
5,6,Arizona,76.79%,85.71%,100.00%,75.86%,77.78%,73.27%,2022-11-29,/nfl/stat/kickoff-touchback-pct
6,7,LA Chargers,76.36%,73.33%,80.00%,75.00%,77.42%,62.00%,2022-11-29,/nfl/stat/kickoff-touchback-pct
7,8,Miami,74.19%,70.00%,66.67%,69.70%,79.31%,70.89%,2022-11-29,/nfl/stat/kickoff-touchback-pct
8,9,Atlanta,71.93%,66.67%,50.00%,78.79%,62.50%,49.30%,2022-11-29,/nfl/stat/kickoff-touchback-pct
9,10,Philadelphia,70.00%,62.50%,37.50%,52.94%,92.31%,62.00%,2022-11-29,/nfl/stat/kickoff-touchback-pct
10,11,Cincinnati,67.74%,45.00%,80.00%,76.00%,62.16%,60.50%,2022-11-29,/nfl/stat/kickoff-touchback-pct
11,12,Las Vegas,66.67%,62.50%,71.43%,66.67%,66.67%,58.06%,2022-11-29,/nfl/stat/kickoff-touchback-pct
12,13,New Orleans,64.29%,80.00%,100.00%,67.74%,60.00%,58.33%,2022-11-29,/nfl/stat/kickoff-touchback-pct
13,14,NY Giants,63.64%,61.54%,75.00%,66.67%,60.00%,39.13%,2022-11-29,/nfl/stat/kickoff-touchback-pct
14,15,Denver,62.22%,58.33%,66.67%,72.73%,52.17%,79.49%,2022-11-29,/nfl/stat/kickoff-touchback-pct
15,16,Kansas City,62.12%,63.16%,57.14%,59.38%,64.71%,66.39%,2022-11-29,/nfl/stat/kickoff-touchback-pct
16,17,Cleveland,61.40%,42.86%,100.00%,61.29%,61.54%,45.95%,2022-11-29,/nfl/stat/kickoff-touchback-pct
17,18,Minnesota,60.71%,50.00%,85.71%,74.19%,44.00%,80.85%,2022-11-29,/nfl/stat/kickoff-touchback-pct
18,19,Chicago,59.65%,57.14%,66.67%,73.91%,50.00%,47.89%,2022-11-29,/nfl/stat/kickoff-touchback-pct
19,20,Tennessee,57.14%,42.86%,80.00%,62.50%,52.00%,55.21%,2022-11-29,/nfl/stat/kickoff-touchback-pct
20,21,Jacksonville,55.56%,46.67%,50.00%,60.87%,51.61%,35.48%,2022-11-29,/nfl/stat/kickoff-touchback-pct
21,22,Carolina,55.17%,53.33%,50.00%,50.00%,63.64%,60.81%,2022-11-29,/nfl/stat/kickoff-touchback-pct
22,23,Detroit,54.55%,66.67%,83.33%,55.88%,52.38%,43.42%,2022-11-29,/nfl/stat/kickoff-touchback-pct
23,23,Seattle,54.55%,38.89%,62.50%,62.07%,48.65%,37.35%,2022-11-29,/nfl/stat/kickoff-touchback-pct
24,25,Indianapolis,53.85%,78.57%,100.00%,50.00%,59.09%,49.47%,2022-11-29,/nfl/stat/kickoff-touchback-pct
25,26,New England,50.88%,35.29%,14.29%,60.00%,43.75%,42.06%,2022-11-29,/nfl/stat/kickoff-touchback-pct
26,27,Buffalo,48.48%,59.09%,20.00%,60.71%,39.47%,56.52%,2022-11-29,/nfl/stat/kickoff-touchback-pct
27,28,San Francisco,48.28%,70.59%,25.00%,39.29%,56.67%,42.16%,2022-11-29,/nfl/stat/kickoff-touchback-pct
28,29,Houston,46.81%,50.00%,100.00%,45.00%,48.15%,47.76%,2022-11-29,/nfl/stat/kickoff-touchback-pct
29,30,Tampa Bay,43.14%,38.46%,50.00%,40.00%,46.15%,71.55%,2022-11-29,/nfl/stat/kickoff-touchback-pct
30,31,Pittsburgh,31.25%,11.76%,16.67%,29.17%,33.33%,44.57%,2022-11-29,/nfl/stat/kickoff-touchback-pct
31,32,Green Bay,28.00%,29.41%,28.57%,26.09%,29.63%,44.33%,2022-11-29,/nfl/stat/kickoff-touchback-pct
