,Date,Opponent,Result,Location,W/L,Div,Spread,Total,Money,asof,url
0,09/12,Denver,W 17-16,Home,1-0,0-0,6.0,Un 43.5,230,2022-11-30 02:28:45.773770,/nfl/team/seattle-seahawks/
1,09/18,San Francisco,L 7-27,Away,1-1,0-1,8.5,Un 39.5,325,2022-11-30 02:28:45.773770,/nfl/team/seattle-seahawks/
2,09/25,Atlanta,L 23-27,Home,1-2,0-1,-1.0,Ov 43.5,-116,2022-11-30 02:28:45.773770,/nfl/team/seattle-seahawks/
3,10/02,Detroit,W 48-45,Away,2-2,0-1,3.5,Ov 48.5,150,2022-11-30 02:28:45.773770,/nfl/team/seattle-seahawks/
4,10/09,New Orleans,L 32-39,Away,2-3,0-1,5.5,Ov 45.0,190,2022-11-30 02:28:45.773770,/nfl/team/seattle-seahawks/
5,10/16,Arizona,W 19-9,Home,3-3,1-1,2.5,Un 50.5,115,2022-11-30 02:28:45.773770,/nfl/team/seattle-seahawks/
6,10/23,LA Chargers,W 37-23,Away,4-3,1-1,4.5,Ov 51.0,195,2022-11-30 02:28:45.773770,/nfl/team/seattle-seahawks/
7,10/30,NY Giants,W 27-13,Home,5-3,1-1,-3.0,Un 44.5,-170,2022-11-30 02:28:45.773770,/nfl/team/seattle-seahawks/
8,11/06,Arizona,W 31-21,Away,6-3,2-1,2.0,Ov 49.0,118,2022-11-30 02:28:45.773770,/nfl/team/seattle-seahawks/
9,11/13,Tampa Bay,L 16-21,Neutral,6-4,2-1,2.5,Un 45.0,125,2022-11-30 02:28:45.773770,/nfl/team/seattle-seahawks/
10,11/27,Las Vegas,L 34-40,Home,6-5,2-1,-4.0,Ov 48.0,-194,2022-11-30 02:28:45.773770,/nfl/team/seattle-seahawks/
11,12/04,LA Rams,4:05 pm,Away,,,-7.5,41.0,-343,2022-11-30 02:28:45.773770,/nfl/team/seattle-seahawks/
12,12/11,Carolina,4:25 pm,Home,,,-6.0,43.5,-270,2022-11-30 02:28:45.773770,/nfl/team/seattle-seahawks/
13,12/15,San Francisco,8:15 pm,Home,,,4.0,0,140,2022-11-30 02:28:45.773770,/nfl/team/seattle-seahawks/
14,12/24,Kansas City,1:00 pm,Away,,,11.0,0,470,2022-11-30 02:28:45.773770,/nfl/team/seattle-seahawks/
15,01/01,NY Jets,4:05 pm,Home,,,-1.5,0,-130,2022-11-30 02:28:45.773770,/nfl/team/seattle-seahawks/
16,01/08,LA Rams,12:00 pm,Home,,,5.5,0,205,2022-11-30 02:28:45.773770,/nfl/team/seattle-seahawks/
