,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,Chicago,197.9,223.3,160.0,225.4,175.0,118.7,2022-11-23,/nfl/stat/rushing-yards-per-game
1,2,Baltimore,162.8,178.0,115.0,149.4,176.2,145.8,2022-11-23,/nfl/stat/rushing-yards-per-game
2,3,Atlanta,159.4,162.7,149.0,181.3,133.0,85.4,2022-11-23,/nfl/stat/rushing-yards-per-game
3,4,NY Giants,157.2,119.3,89.0,149.2,169.3,99.3,2022-11-23,/nfl/stat/rushing-yards-per-game
4,5,Cleveland,150.9,121.3,80.0,162.0,139.8,145.4,2022-11-23,/nfl/stat/rushing-yards-per-game
5,6,Philadelphia,142.5,126.0,141.0,142.8,142.2,156.1,2022-11-23,/nfl/stat/rushing-yards-per-game
6,7,Jacksonville,139.6,144.7,75.0,135.5,142.3,103.2,2022-11-23,/nfl/stat/rushing-yards-per-game
7,8,Dallas,136.2,170.0,151.0,115.8,156.6,122.0,2022-11-23,/nfl/stat/rushing-yards-per-game
8,9,Buffalo,134.0,160.0,171.0,137.3,131.8,131.2,2022-11-23,/nfl/stat/rushing-yards-per-game
9,10,Detroit,132.8,124.0,160.0,143.2,122.4,110.9,2022-11-23,/nfl/stat/rushing-yards-per-game
10,11,Tennessee,128.9,107.7,88.0,100.8,147.7,141.3,2022-11-23,/nfl/stat/rushing-yards-per-game
11,12,San Francisco,127.2,142.3,159.0,133.8,122.8,124.6,2022-11-23,/nfl/stat/rushing-yards-per-game
12,13,Seattle,124.3,94.7,39.0,102.8,138.7,122.0,2022-11-23,/nfl/stat/rushing-yards-per-game
13,14,Green Bay,122.6,123.0,56.0,145.0,104.0,109.3,2022-11-23,/nfl/stat/rushing-yards-per-game
14,15,New Orleans,117.7,55.0,88.0,139.2,92.0,117.1,2022-11-23,/nfl/stat/rushing-yards-per-game
15,16,Washington,116.1,147.3,153.0,103.6,126.5,121.2,2022-11-23,/nfl/stat/rushing-yards-per-game
16,17,New England,115.4,98.7,99.0,112.0,118.8,124.4,2022-11-23,/nfl/stat/rushing-yards-per-game
17,18,Kansas City,114.6,131.7,163.0,99.2,130.0,119.1,2022-11-23,/nfl/stat/rushing-yards-per-game
18,19,Carolina,110.5,110.7,36.0,118.0,101.6,108.4,2022-11-23,/nfl/stat/rushing-yards-per-game
19,20,NY Jets,110.3,94.7,59.0,103.8,116.8,98.1,2022-11-23,/nfl/stat/rushing-yards-per-game
20,21,Arizona,108.9,89.0,67.0,111.2,107.0,118.7,2022-11-23,/nfl/stat/rushing-yards-per-game
21,22,Pittsburgh,107.8,154.3,102.0,121.2,94.4,91.1,2022-11-23,/nfl/stat/rushing-yards-per-game
22,23,Las Vegas,106.8,86.3,109.0,133.3,89.2,95.6,2022-11-23,/nfl/stat/rushing-yards-per-game
23,24,Minnesota,103.6,92.0,73.0,122.4,84.8,113.5,2022-11-23,/nfl/stat/rushing-yards-per-game
24,25,Denver,102.6,86.7,94.0,114.8,90.4,119.1,2022-11-23,/nfl/stat/rushing-yards-per-game
25,26,Indianapolis,98.7,128.0,99.0,79.8,114.5,149.4,2022-11-23,/nfl/stat/rushing-yards-per-game
26,27,Miami,97.7,126.3,195.0,97.0,98.4,92.2,2022-11-23,/nfl/stat/rushing-yards-per-game
27,28,Cincinnati,95.1,113.0,62.0,129.8,72.0,99.3,2022-11-23,/nfl/stat/rushing-yards-per-game
28,29,Houston,93.7,96.7,21.0,88.0,99.4,83.6,2022-11-23,/nfl/stat/rushing-yards-per-game
29,30,LA Chargers,87.9,85.7,115.0,68.6,107.2,107.9,2022-11-23,/nfl/stat/rushing-yards-per-game
30,31,LA Rams,76.1,94.0,148.0,64.7,93.3,95.7,2022-11-23,/nfl/stat/rushing-yards-per-game
31,32,Tampa Bay,70.7,85.3,161.0,40.2,101.2,96.3,2022-11-23,/nfl/stat/rushing-yards-per-game
