,Rank,Player,Team,Pos,Value,asof,url
0,1,Bryan Anger,Dallas Cowboys,P,83,2022-11-30 02:28:05.835136,/nfl/player-stat/punting-longest-yards
1,2,Corey Bojorquez,Cleveland Browns,P,76,2022-11-30 02:28:05.835136,/nfl/player-stat/punting-longest-yards
2,3,Jake Camarda,Tampa Bay Buccaneers,P,74,2022-11-30 02:28:05.835136,/nfl/player-stat/punting-longest-yards
3,3,Ryan Stonehouse,Tennessee Titans,P,74,2022-11-30 02:28:05.835136,/nfl/player-stat/punting-longest-yards
4,3,Mitch Wishnowsky,San Francisco 49ers,P,74,2022-11-30 02:28:05.835136,/nfl/player-stat/punting-longest-yards
5,3,Tommy Townsend,Kansas City Chiefs,P,74,2022-11-30 02:28:05.835136,/nfl/player-stat/punting-longest-yards
6,7,Ryan Wright,Minnesota Vikings,P,73,2022-11-30 02:28:05.835136,/nfl/player-stat/punting-longest-yards
7,7,Bradley Pinion,Atlanta Falcons,P,73,2022-11-30 02:28:05.835136,/nfl/player-stat/punting-longest-yards
8,9,Braden Mann,New York Jets,P,72,2022-11-30 02:28:05.835136,/nfl/player-stat/punting-longest-yards
9,9,Pat O'Donnell,Green Bay Packers,P,72,2022-11-30 02:28:05.835136,/nfl/player-stat/punting-longest-yards
10,11,Matt Haack,Indianapolis Colts,P,70,2022-11-30 02:28:05.835136,/nfl/player-stat/punting-longest-yards
11,11,Logan Cooke,Jacksonville Jaguars,P,70,2022-11-30 02:28:05.835136,/nfl/player-stat/punting-longest-yards
12,13,Jordan Stout,Baltimore Ravens,P,69,2022-11-30 02:28:05.835136,/nfl/player-stat/punting-longest-yards
13,13,Pressley Harvin III,Pittsburgh Steelers,P,69,2022-11-30 02:28:05.835136,/nfl/player-stat/punting-longest-yards
14,13,Jamie Gillan,New York Giants,P,69,2022-11-30 02:28:05.835136,/nfl/player-stat/punting-longest-yards
15,16,Johnny Hekker,Carolina Panthers,P,68,2022-11-30 02:28:05.835136,/nfl/player-stat/punting-longest-yards
16,16,Tress Way,Washington Commanders,P,68,2022-11-30 02:28:05.835136,/nfl/player-stat/punting-longest-yards
17,16,Michael Dickson,Seattle Seahawks,P,68,2022-11-30 02:28:05.835136,/nfl/player-stat/punting-longest-yards
18,19,AJ Cole,Las Vegas Raiders,P,67,2022-11-30 02:28:05.835136,/nfl/player-stat/punting-longest-yards
19,19,Cameron Johnston,Houston Texans,P,67,2022-11-30 02:28:05.835136,/nfl/player-stat/punting-longest-yards
20,21,Thomas Morstead,Miami Dolphins,P,66,2022-11-30 02:28:05.835136,/nfl/player-stat/punting-longest-yards
21,22,Drue Chrisman,Cincinnati Bengals,P,65,2022-11-30 02:28:05.835136,/nfl/player-stat/punting-longest-yards
22,22,Andy Lee,Arizona Cardinals,P,65,2022-11-30 02:28:05.835136,/nfl/player-stat/punting-longest-yards
23,24,Riley Dixon,Los Angeles Rams,P,64,2022-11-30 02:28:05.835136,/nfl/player-stat/punting-longest-yards
24,25,Jack Fox,Detroit Lions,P,63,2022-11-30 02:28:05.835136,/nfl/player-stat/punting-longest-yards
25,25,Kevin Huber,Cincinnati Bengals,P,63,2022-11-30 02:28:05.835136,/nfl/player-stat/punting-longest-yards
26,25,Blake Gillikin,New Orleans Saints,P,63,2022-11-30 02:28:05.835136,/nfl/player-stat/punting-longest-yards
27,25,Sam Martin,Buffalo Bills,P,63,2022-11-30 02:28:05.835136,/nfl/player-stat/punting-longest-yards
28,29,Jake Bailey,New England Patriots,P,62,2022-11-30 02:28:05.835136,/nfl/player-stat/punting-longest-yards
