,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,Tennessee,0.2,0.3,0.0,0.3,0.2,0.8,2022-11-23,/nfl/stat/opponent-rushing-touchdowns-per-game
1,2,New England,0.4,0.0,0.0,0.6,0.2,0.6,2022-11-23,/nfl/stat/opponent-rushing-touchdowns-per-game
2,3,Dallas,0.5,1.0,0.0,0.4,0.6,0.8,2022-11-23,/nfl/stat/opponent-rushing-touchdowns-per-game
3,3,Pittsburgh,0.5,0.3,0.0,0.4,0.6,0.9,2022-11-23,/nfl/stat/opponent-rushing-touchdowns-per-game
4,3,Tampa Bay,0.5,0.3,0.0,0.8,0.2,0.7,2022-11-23,/nfl/stat/opponent-rushing-touchdowns-per-game
5,3,Denver,0.5,0.3,0.0,0.2,0.8,0.5,2022-11-23,/nfl/stat/opponent-rushing-touchdowns-per-game
6,7,Washington,0.5,0.7,1.0,0.6,0.5,0.8,2022-11-23,/nfl/stat/opponent-rushing-touchdowns-per-game
7,8,Kansas City,0.6,1.0,1.0,0.6,0.6,0.8,2022-11-23,/nfl/stat/opponent-rushing-touchdowns-per-game
8,8,LA Rams,0.6,0.7,0.0,0.8,0.3,1.0,2022-11-23,/nfl/stat/opponent-rushing-touchdowns-per-game
9,10,Buffalo,0.7,1.0,0.0,0.8,0.7,1.1,2022-11-23,/nfl/stat/opponent-rushing-touchdowns-per-game
10,11,Indianapolis,0.8,0.7,1.0,1.4,0.3,0.6,2022-11-23,/nfl/stat/opponent-rushing-touchdowns-per-game
11,12,Jacksonville,0.9,0.7,0.0,0.5,1.2,1.3,2022-11-23,/nfl/stat/opponent-rushing-touchdowns-per-game
12,12,San Francisco,0.9,0.7,1.0,0.8,1.0,1.0,2022-11-23,/nfl/stat/opponent-rushing-touchdowns-per-game
13,12,NY Giants,0.9,1.7,4.0,1.0,0.8,0.9,2022-11-23,/nfl/stat/opponent-rushing-touchdowns-per-game
14,12,Cincinnati,0.9,2.0,2.0,0.5,1.2,0.8,2022-11-23,/nfl/stat/opponent-rushing-touchdowns-per-game
15,12,Baltimore,0.9,0.3,0.0,0.8,1.0,0.8,2022-11-23,/nfl/stat/opponent-rushing-touchdowns-per-game
16,12,Philadelphia,0.9,1.0,1.0,0.6,1.2,1.1,2022-11-23,/nfl/stat/opponent-rushing-touchdowns-per-game
17,18,Green Bay,0.9,0.7,1.0,1.2,0.7,0.7,2022-11-23,/nfl/stat/opponent-rushing-touchdowns-per-game
18,19,New Orleans,1.0,1.3,0.0,0.7,1.4,0.7,2022-11-23,/nfl/stat/opponent-rushing-touchdowns-per-game
19,19,NY Jets,1.0,0.7,0.0,0.8,1.2,1.6,2022-11-23,/nfl/stat/opponent-rushing-touchdowns-per-game
20,21,Las Vegas,1.1,1.7,1.0,1.3,1.0,1.0,2022-11-23,/nfl/stat/opponent-rushing-touchdowns-per-game
21,21,LA Chargers,1.1,1.3,0.0,0.6,1.6,1.3,2022-11-23,/nfl/stat/opponent-rushing-touchdowns-per-game
22,23,Arizona,1.2,1.3,1.0,1.4,1.0,0.6,2022-11-23,/nfl/stat/opponent-rushing-touchdowns-per-game
23,23,Carolina,1.2,2.0,1.0,0.8,1.6,0.9,2022-11-23,/nfl/stat/opponent-rushing-touchdowns-per-game
24,25,Miami,1.2,1.3,1.0,0.4,2.0,0.9,2022-11-23,/nfl/stat/opponent-rushing-touchdowns-per-game
25,25,Seattle,1.2,0.7,1.0,0.8,1.5,0.9,2022-11-23,/nfl/stat/opponent-rushing-touchdowns-per-game
26,25,Minnesota,1.2,1.3,2.0,1.2,1.2,0.9,2022-11-23,/nfl/stat/opponent-rushing-touchdowns-per-game
27,28,Atlanta,1.4,1.7,2.0,1.5,1.2,1.1,2022-11-23,/nfl/stat/opponent-rushing-touchdowns-per-game
28,29,Houston,1.4,1.3,1.0,1.6,1.2,1.5,2022-11-23,/nfl/stat/opponent-rushing-touchdowns-per-game
29,30,Cleveland,1.6,1.0,1.0,1.4,1.8,0.8,2022-11-23,/nfl/stat/opponent-rushing-touchdowns-per-game
30,31,Chicago,1.6,1.3,1.0,1.2,2.0,0.8,2022-11-23,/nfl/stat/opponent-rushing-touchdowns-per-game
31,32,Detroit,1.7,1.3,2.0,1.8,1.6,1.1,2022-11-23,/nfl/stat/opponent-rushing-touchdowns-per-game
