,Date,Opponent,Result,Location,W/L,Div,Spread,Total,Money,asof,url
0,09/11,Minnesota,L 7-23,Away,0-1,0-1,2.0,Un 46.5,119,2022-09-26 17:23:17.110371,/nfl/team/green-bay-packers/
1,09/18,Chicago,W 27-10,Home,1-1,1-1,-10.0,Un 42.0,-435,2022-09-26 17:23:17.110371,/nfl/team/green-bay-packers/
2,09/25,Tampa Bay,W 14-12,Away,2-1,1-1,1.0,Un 42.0,109,2022-09-26 17:23:17.110371,/nfl/team/green-bay-packers/
3,10/02,New England,4:25 pm,Home,,,-10.5,39.0,-500,2022-09-26 17:23:17.110371,/nfl/team/green-bay-packers/
4,10/09,NY Giants,9:30 am,Neutral,,,-7.0,45.5,-265,2022-09-26 17:23:17.110371,/nfl/team/green-bay-packers/
5,10/16,NY Jets,1:00 pm,Home,,,-10.5,0,-435,2022-09-26 17:23:17.110371,/nfl/team/green-bay-packers/
6,10/23,Washington,1:00 pm,Away,,,-5.5,0,-170,2022-09-26 17:23:17.110371,/nfl/team/green-bay-packers/
7,10/30,Buffalo,8:20 pm,Away,,,3.5,0,160,2022-09-26 17:23:17.110371,/nfl/team/green-bay-packers/
8,11/06,Detroit,1:00 pm,Away,,,-4.5,0,-245,2022-09-26 17:23:17.110371,/nfl/team/green-bay-packers/
9,11/13,Dallas,4:25 pm,Home,,,-3.5,49.0,-196,2022-09-26 17:23:17.110371,/nfl/team/green-bay-packers/
10,11/17,Tennessee,8:15 pm,Home,,,-6.0,0,-200,2022-09-26 17:23:17.110371,/nfl/team/green-bay-packers/
11,11/27,Philadelphia,8:20 pm,Away,,,-1.5,0,-110,2022-09-26 17:23:17.110371,/nfl/team/green-bay-packers/
12,12/04,Chicago,1:00 pm,Away,,,-4.5,0,-190,2022-09-26 17:23:17.110371,/nfl/team/green-bay-packers/
13,12/19,LA Rams,8:15 pm,Home,,,-1.5,0,-110,2022-09-26 17:23:17.110371,/nfl/team/green-bay-packers/
14,12/25,Miami,1:00 pm,Away,,,-2.0,0,-120,2022-09-26 17:23:17.110371,/nfl/team/green-bay-packers/
15,01/01,Minnesota,4:25 pm,Home,,,-5.5,0,-245,2022-09-26 17:23:17.110371,/nfl/team/green-bay-packers/
16,01/08,Detroit,12:00 pm,Home,,,-8.0,0,-410,2022-09-26 17:23:17.110371,/nfl/team/green-bay-packers/
