,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,Cincinnati,0.2,0.3,0.0,0.3,0.1,0.4,2022-11-29,/nfl/stat/opponent-fourth-down-conversions-per-game
1,2,Chicago,0.3,0.7,0.0,0.4,0.1,0.7,2022-11-29,/nfl/stat/opponent-fourth-down-conversions-per-game
2,2,Carolina,0.3,0.0,0.0,0.3,0.2,0.7,2022-11-29,/nfl/stat/opponent-fourth-down-conversions-per-game
3,4,Denver,0.4,0.7,2.0,0.2,0.5,0.6,2022-11-29,/nfl/stat/opponent-fourth-down-conversions-per-game
4,4,LA Chargers,0.4,0.3,0.0,0.6,0.2,0.4,2022-11-29,/nfl/stat/opponent-fourth-down-conversions-per-game
5,6,Las Vegas,0.5,0.0,0.0,1.3,0.0,1.2,2022-11-29,/nfl/stat/opponent-fourth-down-conversions-per-game
6,6,San Francisco,0.5,0.0,0.0,0.4,0.5,0.6,2022-11-29,/nfl/stat/opponent-fourth-down-conversions-per-game
7,6,Cleveland,0.5,0.7,1.0,0.3,0.6,0.9,2022-11-29,/nfl/stat/opponent-fourth-down-conversions-per-game
8,6,New England,0.5,0.0,0.0,0.0,0.8,0.9,2022-11-29,/nfl/stat/opponent-fourth-down-conversions-per-game
9,10,Arizona,0.5,0.7,0.0,0.5,0.5,0.8,2022-11-29,/nfl/stat/opponent-fourth-down-conversions-per-game
10,11,Dallas,0.5,0.3,0.0,0.5,0.6,0.9,2022-11-29,/nfl/stat/opponent-fourth-down-conversions-per-game
11,11,NY Jets,0.5,0.7,2.0,0.5,0.6,0.8,2022-11-29,/nfl/stat/opponent-fourth-down-conversions-per-game
12,11,NY Giants,0.5,0.0,0.0,0.3,0.8,0.9,2022-11-29,/nfl/stat/opponent-fourth-down-conversions-per-game
13,14,Atlanta,0.6,0.3,1.0,0.7,0.5,0.6,2022-11-29,/nfl/stat/opponent-fourth-down-conversions-per-game
14,14,New Orleans,0.6,1.0,1.0,0.5,0.7,0.5,2022-11-29,/nfl/stat/opponent-fourth-down-conversions-per-game
15,14,Green Bay,0.6,1.7,2.0,0.6,0.6,0.8,2022-11-29,/nfl/stat/opponent-fourth-down-conversions-per-game
16,17,Jacksonville,0.6,0.7,0.0,0.2,1.0,0.8,2022-11-29,/nfl/stat/opponent-fourth-down-conversions-per-game
17,17,Minnesota,0.6,0.0,0.0,0.8,0.4,0.9,2022-11-29,/nfl/stat/opponent-fourth-down-conversions-per-game
18,19,Washington,0.7,1.3,0.0,0.5,0.8,0.7,2022-11-29,/nfl/stat/opponent-fourth-down-conversions-per-game
19,20,Detroit,0.7,0.7,0.0,0.8,0.6,0.5,2022-11-29,/nfl/stat/opponent-fourth-down-conversions-per-game
20,20,Tampa Bay,0.7,1.3,2.0,0.2,1.2,0.7,2022-11-29,/nfl/stat/opponent-fourth-down-conversions-per-game
21,20,LA Rams,0.7,1.0,0.0,0.7,0.8,1.0,2022-11-29,/nfl/stat/opponent-fourth-down-conversions-per-game
22,20,Seattle,0.7,0.3,1.0,0.4,1.0,0.8,2022-11-29,/nfl/stat/opponent-fourth-down-conversions-per-game
23,20,Philadelphia,0.7,0.7,1.0,1.0,0.4,0.8,2022-11-29,/nfl/stat/opponent-fourth-down-conversions-per-game
24,25,Indianapolis,0.8,0.7,0.0,0.8,0.7,0.7,2022-11-29,/nfl/stat/opponent-fourth-down-conversions-per-game
25,26,Houston,0.8,1.0,1.0,1.2,0.5,0.6,2022-11-29,/nfl/stat/opponent-fourth-down-conversions-per-game
26,27,Pittsburgh,0.9,0.7,2.0,0.6,1.2,0.7,2022-11-29,/nfl/stat/opponent-fourth-down-conversions-per-game
27,27,Miami,0.9,1.3,1.0,1.2,0.6,0.6,2022-11-29,/nfl/stat/opponent-fourth-down-conversions-per-game
28,29,Baltimore,1.1,1.0,2.0,0.8,1.3,0.6,2022-11-29,/nfl/stat/opponent-fourth-down-conversions-per-game
29,30,Tennessee,1.3,0.7,0.0,1.4,1.2,0.8,2022-11-29,/nfl/stat/opponent-fourth-down-conversions-per-game
30,30,Buffalo,1.3,2.3,3.0,1.0,1.4,1.1,2022-11-29,/nfl/stat/opponent-fourth-down-conversions-per-game
31,32,Kansas City,1.4,1.7,3.0,1.8,0.8,1.3,2022-11-29,/nfl/stat/opponent-fourth-down-conversions-per-game
