,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,New England,37.6,38.6,49.0,37.1,38.2,39.3,2022-11-29,/nfl/stat/opponent-net-yards-per-successful-punt
1,2,Atlanta,38.9,37.4,42.3,40.2,37.1,42.2,2022-11-29,/nfl/stat/opponent-net-yards-per-successful-punt
2,3,Houston,39.4,34.5,32.5,42.8,36.8,40.4,2022-11-29,/nfl/stat/opponent-net-yards-per-successful-punt
3,4,Detroit,39.9,36.8,35.8,39.1,40.6,40.0,2022-11-29,/nfl/stat/opponent-net-yards-per-successful-punt
4,5,Dallas,40.1,40.4,38.3,40.1,40.1,41.9,2022-11-29,/nfl/stat/opponent-net-yards-per-successful-punt
5,6,Carolina,40.2,38.5,46.1,40.4,39.9,41.9,2022-11-29,/nfl/stat/opponent-net-yards-per-successful-punt
6,7,Tennessee,40.4,40.8,43.4,38.7,42.1,38.8,2022-11-29,/nfl/stat/opponent-net-yards-per-successful-punt
7,8,Jacksonville,40.7,40.7,33.0,41.4,40.1,40.7,2022-11-29,/nfl/stat/opponent-net-yards-per-successful-punt
8,9,Cincinnati,40.9,43.0,43.8,42.0,39.9,39.1,2022-11-29,/nfl/stat/opponent-net-yards-per-successful-punt
9,10,Pittsburgh,41.0,46.7,44.0,42.5,39.7,38.6,2022-11-29,/nfl/stat/opponent-net-yards-per-successful-punt
10,11,New Orleans,41.1,40.5,39.3,41.8,40.2,40.4,2022-11-29,/nfl/stat/opponent-net-yards-per-successful-punt
11,12,NY Jets,41.3,41.8,41.2,41.0,41.4,38.1,2022-11-29,/nfl/stat/opponent-net-yards-per-successful-punt
12,12,Cleveland,41.3,39.0,36.7,38.4,47.2,42.1,2022-11-29,/nfl/stat/opponent-net-yards-per-successful-punt
13,14,San Francisco,41.6,37.9,36.3,41.0,41.9,42.5,2022-11-29,/nfl/stat/opponent-net-yards-per-successful-punt
14,15,Buffalo,41.9,39.6,51.5,42.1,41.7,39.9,2022-11-29,/nfl/stat/opponent-net-yards-per-successful-punt
15,16,Kansas City,41.9,42.3,45.0,41.7,42.3,40.8,2022-11-29,/nfl/stat/opponent-net-yards-per-successful-punt
16,16,Baltimore,41.9,47.0,55.3,40.6,42.9,39.6,2022-11-29,/nfl/stat/opponent-net-yards-per-successful-punt
17,18,LA Rams,42.0,41.9,49.0,41.4,42.7,41.5,2022-11-29,/nfl/stat/opponent-net-yards-per-successful-punt
18,19,Green Bay,42.1,41.8,52.0,40.4,43.9,42.1,2022-11-29,/nfl/stat/opponent-net-yards-per-successful-punt
19,20,Indianapolis,42.3,43.9,40.5,44.3,40.8,42.0,2022-11-29,/nfl/stat/opponent-net-yards-per-successful-punt
20,21,Miami,42.4,43.6,46.9,42.8,41.5,40.8,2022-11-29,/nfl/stat/opponent-net-yards-per-successful-punt
21,22,Minnesota,42.7,43.8,37.3,42.4,43.0,42.1,2022-11-29,/nfl/stat/opponent-net-yards-per-successful-punt
22,23,Chicago,43.1,40.7,53.0,44.2,41.9,37.2,2022-11-29,/nfl/stat/opponent-net-yards-per-successful-punt
23,24,Arizona,43.6,39.6,36.5,42.9,44.1,41.8,2022-11-29,/nfl/stat/opponent-net-yards-per-successful-punt
24,25,Tampa Bay,43.7,45.7,44.2,43.6,43.8,40.5,2022-11-29,/nfl/stat/opponent-net-yards-per-successful-punt
25,26,Washington,43.8,42.9,40.7,43.3,44.3,43.3,2022-11-29,/nfl/stat/opponent-net-yards-per-successful-punt
26,27,NY Giants,43.9,44.2,48.0,43.6,44.4,39.0,2022-11-29,/nfl/stat/opponent-net-yards-per-successful-punt
27,28,Denver,44.1,46.6,51.0,43.3,44.9,43.9,2022-11-29,/nfl/stat/opponent-net-yards-per-successful-punt
28,29,Las Vegas,44.1,42.3,45.0,42.6,44.9,41.9,2022-11-29,/nfl/stat/opponent-net-yards-per-successful-punt
29,30,LA Chargers,44.1,38.8,41.7,44.5,44.0,42.5,2022-11-29,/nfl/stat/opponent-net-yards-per-successful-punt
30,31,Seattle,44.3,46.7,40.0,43.5,44.8,41.4,2022-11-29,/nfl/stat/opponent-net-yards-per-successful-punt
31,32,Philadelphia,44.5,42.5,41.5,45.1,44.0,40.2,2022-11-29,/nfl/stat/opponent-net-yards-per-successful-punt
