,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,Kansas City,30.0,30.3,27.0,24.8,36.5,29.4,2022-11-16,/nfl/stat/points-per-game
1,2,Buffalo,27.8,24.7,30.0,34.0,22.8,29.8,2022-11-16,/nfl/stat/points-per-game
2,3,Philadelphia,27.3,28.3,21.0,27.0,27.8,25.5,2022-11-16,/nfl/stat/points-per-game
3,4,Baltimore,26.1,25.7,27.0,25.0,27.0,22.8,2022-11-16,/nfl/stat/points-per-game
4,5,Seattle,25.7,24.7,16.0,21.5,28.5,23.2,2022-11-16,/nfl/stat/points-per-game
5,6,Cincinnati,25.3,30.0,42.0,31.0,20.8,26.3,2022-11-16,/nfl/stat/points-per-game
6,7,Miami,25.2,35.0,39.0,22.4,28.0,20.1,2022-11-16,/nfl/stat/points-per-game
7,8,Minnesota,25.1,29.0,33.0,28.5,22.4,25.0,2022-11-16,/nfl/stat/points-per-game
8,9,Detroit,24.3,24.3,31.0,31.6,15.3,19.1,2022-11-16,/nfl/stat/points-per-game
9,10,Cleveland,24.1,23.0,17.0,26.8,20.8,20.5,2022-11-16,/nfl/stat/points-per-game
10,11,Dallas,23.4,33.7,28.0,24.2,22.5,30.4,2022-11-16,/nfl/stat/points-per-game
11,12,Atlanta,23.2,23.0,15.0,26.2,20.2,18.4,2022-11-16,/nfl/stat/points-per-game
12,13,Arizona,23.0,24.7,27.0,22.6,23.4,25.6,2022-11-16,/nfl/stat/points-per-game
13,14,Las Vegas,22.6,13.3,20.0,28.3,18.0,21.8,2022-11-16,/nfl/stat/points-per-game
14,14,New England,22.6,20.7,26.0,23.8,21.6,26.6,2022-11-16,/nfl/stat/points-per-game
15,16,LA Chargers,22.2,19.7,16.0,19.0,24.8,27.9,2022-11-16,/nfl/stat/points-per-game
16,17,New Orleans,22.2,15.7,10.0,22.4,22.0,21.4,2022-11-16,/nfl/stat/points-per-game
17,18,San Francisco,22.0,25.3,22.0,24.0,20.4,24.0,2022-11-16,/nfl/stat/points-per-game
18,19,NY Jets,21.8,17.7,20.0,19.6,24.5,18.2,2022-11-16,/nfl/stat/points-per-game
19,20,Chicago,21.7,30.3,30.0,22.2,21.2,18.3,2022-11-16,/nfl/stat/points-per-game
20,21,Jacksonville,21.6,20.3,17.0,18.5,23.7,14.9,2022-11-16,/nfl/stat/points-per-game
21,22,NY Giants,20.8,20.0,24.0,20.6,21.0,15.2,2022-11-16,/nfl/stat/points-per-game
22,23,Carolina,20.4,26.7,25.0,20.5,20.3,17.9,2022-11-16,/nfl/stat/points-per-game
23,24,Washington,19.1,22.0,32.0,18.6,19.6,19.7,2022-11-16,/nfl/stat/points-per-game
24,25,Green Bay,18.5,19.0,31.0,23.8,15.0,25.6,2022-11-16,/nfl/stat/points-per-game
25,26,Tennessee,18.4,17.0,17.0,20.0,17.2,24.2,2022-11-16,/nfl/stat/points-per-game
26,27,Tampa Bay,18.3,19.7,21.0,20.4,16.2,29.9,2022-11-16,/nfl/stat/points-per-game
27,28,Houston,16.6,14.3,16.0,17.8,15.6,16.5,2022-11-16,/nfl/stat/points-per-game
28,29,LA Rams,16.4,14.7,17.0,17.7,14.0,27.0,2022-11-16,/nfl/stat/points-per-game
29,30,Indianapolis,15.7,14.7,25.0,21.8,11.7,26.5,2022-11-16,/nfl/stat/points-per-game
30,31,Pittsburgh,15.6,14.3,20.0,18.5,13.2,20.2,2022-11-16,/nfl/stat/points-per-game
31,32,Denver,14.6,13.3,10.0,11.3,17.2,19.7,2022-11-16,/nfl/stat/points-per-game
