,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,Chicago,56.28%,58.49%,50.00%,57.45%,55.37%,35.74%,2022-11-29,/nfl/stat/rushing-first-down-pct
1,2,Baltimore,48.71%,56.06%,54.17%,51.46%,46.51%,40.36%,2022-11-29,/nfl/stat/rushing-first-down-pct
2,3,Atlanta,45.69%,42.86%,55.56%,50.41%,40.54%,24.51%,2022-11-29,/nfl/stat/rushing-first-down-pct
3,4,Philadelphia,45.06%,58.46%,72.41%,48.20%,41.23%,45.36%,2022-11-29,/nfl/stat/rushing-first-down-pct
4,5,NY Giants,42.11%,35.38%,28.57%,43.90%,40.00%,30.10%,2022-11-29,/nfl/stat/rushing-first-down-pct
5,6,Carolina,41.90%,54.00%,52.63%,45.19%,37.33%,36.65%,2022-11-29,/nfl/stat/rushing-first-down-pct
6,7,Cleveland,40.40%,31.88%,45.45%,40.71%,40.00%,40.35%,2022-11-29,/nfl/stat/rushing-first-down-pct
7,8,Dallas,38.99%,43.84%,38.46%,34.19%,44.55%,28.78%,2022-11-29,/nfl/stat/rushing-first-down-pct
8,9,Washington,36.67%,49.23%,55.00%,33.33%,40.17%,37.39%,2022-11-29,/nfl/stat/rushing-first-down-pct
9,10,San Francisco,36.49%,39.06%,28.57%,36.79%,36.21%,34.88%,2022-11-29,/nfl/stat/rushing-first-down-pct
10,11,Las Vegas,36.16%,43.08%,48.15%,40.91%,33.09%,26.61%,2022-11-29,/nfl/stat/rushing-first-down-pct
11,12,New England,35.64%,31.71%,17.65%,37.50%,34.26%,37.70%,2022-11-29,/nfl/stat/rushing-first-down-pct
12,13,Tennessee,35.43%,18.00%,13.33%,24.10%,45.65%,37.30%,2022-11-29,/nfl/stat/rushing-first-down-pct
13,14,Arizona,34.69%,36.84%,45.00%,36.67%,32.80%,34.91%,2022-11-29,/nfl/stat/rushing-first-down-pct
14,15,Green Bay,34.48%,33.33%,26.32%,39.00%,31.06%,29.31%,2022-11-29,/nfl/stat/rushing-first-down-pct
15,16,Houston,34.25%,27.66%,21.43%,31.17%,36.54%,28.95%,2022-11-29,/nfl/stat/rushing-first-down-pct
16,17,Pittsburgh,34.11%,43.28%,50.00%,34.38%,33.90%,25.73%,2022-11-29,/nfl/stat/rushing-first-down-pct
17,18,Buffalo,33.71%,39.24%,35.71%,30.11%,35.67%,34.89%,2022-11-29,/nfl/stat/rushing-first-down-pct
18,19,Detroit,33.05%,40.00%,31.82%,30.00%,36.79%,31.61%,2022-11-29,/nfl/stat/rushing-first-down-pct
19,20,New Orleans,32.44%,20.93%,28.57%,36.67%,27.62%,36.81%,2022-11-29,/nfl/stat/rushing-first-down-pct
20,21,Jacksonville,31.51%,24.56%,5.56%,27.27%,35.16%,30.26%,2022-11-29,/nfl/stat/rushing-first-down-pct
21,22,Denver,31.02%,29.41%,28.57%,31.52%,30.53%,37.46%,2022-11-29,/nfl/stat/rushing-first-down-pct
22,23,Seattle,30.26%,26.47%,27.27%,27.45%,32.54%,35.10%,2022-11-29,/nfl/stat/rushing-first-down-pct
23,24,NY Jets,29.53%,40.82%,36.36%,28.23%,31.88%,28.06%,2022-11-29,/nfl/stat/rushing-first-down-pct
24,25,Cincinnati,28.16%,39.73%,33.33%,30.84%,26.09%,28.68%,2022-11-29,/nfl/stat/rushing-first-down-pct
25,26,Indianapolis,27.80%,33.96%,31.58%,23.08%,33.02%,43.50%,2022-11-29,/nfl/stat/rushing-first-down-pct
26,27,Minnesota,25.74%,20.63%,8.70%,29.58%,20.00%,31.02%,2022-11-29,/nfl/stat/rushing-first-down-pct
27,28,LA Rams,25.53%,37.50%,38.46%,22.12%,30.67%,26.26%,2022-11-29,/nfl/stat/rushing-first-down-pct
28,29,LA Chargers,24.66%,28.57%,18.18%,25.74%,23.77%,27.93%,2022-11-29,/nfl/stat/rushing-first-down-pct
29,30,Miami,24.48%,24.00%,16.00%,25.20%,23.68%,26.77%,2022-11-29,/nfl/stat/rushing-first-down-pct
30,31,Tampa Bay,22.73%,26.67%,31.25%,13.64%,31.82%,26.62%,2022-11-29,/nfl/stat/rushing-first-down-pct
31,32,Kansas City,22.66%,25.64%,20.69%,20.53%,25.20%,27.66%,2022-11-29,/nfl/stat/rushing-first-down-pct
