,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,Seattle,6.7,4.3,10.0,6.0,7.3,4.8,2022-11-29,/nfl/stat/1st-quarter-points-per-game
1,2,Buffalo,6.5,8.0,7.0,9.5,4.9,6.5,2022-11-29,/nfl/stat/1st-quarter-points-per-game
2,3,Cleveland,5.9,8.0,10.0,6.8,4.8,4.0,2022-11-29,/nfl/stat/1st-quarter-points-per-game
3,3,Cincinnati,5.9,5.7,0.0,7.8,4.9,4.2,2022-11-29,/nfl/stat/1st-quarter-points-per-game
4,5,Kansas City,5.8,6.7,7.0,2.8,9.4,7.2,2022-11-29,/nfl/stat/1st-quarter-points-per-game
5,6,Detroit,5.6,4.3,7.0,7.7,3.2,2.4,2022-11-29,/nfl/stat/1st-quarter-points-per-game
6,7,Miami,5.2,8.0,10.0,6.7,3.4,5.5,2022-11-29,/nfl/stat/1st-quarter-points-per-game
7,8,Dallas,5.1,3.3,0.0,5.7,4.4,7.2,2022-11-29,/nfl/stat/1st-quarter-points-per-game
8,9,Philadelphia,5.0,9.0,13.0,6.8,2.8,4.9,2022-11-29,/nfl/stat/1st-quarter-points-per-game
9,10,Baltimore,4.8,4.3,6.0,5.4,4.3,3.0,2022-11-29,/nfl/stat/1st-quarter-points-per-game
10,11,Atlanta,4.8,3.3,3.0,7.3,2.2,3.2,2022-11-29,/nfl/stat/1st-quarter-points-per-game
11,12,Tennessee,4.7,2.3,0.0,3.4,5.8,3.4,2022-11-29,/nfl/stat/1st-quarter-points-per-game
12,12,Minnesota,4.7,5.7,7.0,5.2,4.2,5.1,2022-11-29,/nfl/stat/1st-quarter-points-per-game
13,14,Jacksonville,4.5,0.0,0.0,3.6,5.2,2.8,2022-11-29,/nfl/stat/1st-quarter-points-per-game
14,15,Chicago,4.3,4.3,3.0,3.2,5.1,2.8,2022-11-29,/nfl/stat/1st-quarter-points-per-game
15,16,Green Bay,3.9,6.7,14.0,1.8,5.4,3.2,2022-11-29,/nfl/stat/1st-quarter-points-per-game
16,17,San Francisco,3.9,2.0,3.0,5.8,2.3,4.5,2022-11-29,/nfl/stat/1st-quarter-points-per-game
17,18,Pittsburgh,3.6,4.3,3.0,3.4,3.8,2.1,2022-11-29,/nfl/stat/1st-quarter-points-per-game
18,18,Las Vegas,3.6,2.3,7.0,3.3,3.9,3.8,2022-11-29,/nfl/stat/1st-quarter-points-per-game
19,18,LA Rams,3.6,3.3,0.0,3.3,4.0,4.1,2022-11-29,/nfl/stat/1st-quarter-points-per-game
20,21,Denver,3.5,2.3,0.0,3.8,3.3,3.2,2022-11-29,/nfl/stat/1st-quarter-points-per-game
21,21,NY Giants,3.5,5.3,3.0,4.3,2.6,2.1,2022-11-29,/nfl/stat/1st-quarter-points-per-game
22,23,Tampa Bay,3.2,3.3,7.0,3.8,2.7,6.5,2022-11-29,/nfl/stat/1st-quarter-points-per-game
23,24,NY Jets,3.1,3.3,7.0,4.0,2.0,3.5,2022-11-29,/nfl/stat/1st-quarter-points-per-game
24,25,New Orleans,3.1,1.0,0.0,3.8,2.3,2.4,2022-11-29,/nfl/stat/1st-quarter-points-per-game
25,26,LA Chargers,3.0,5.7,0.0,2.6,3.3,4.8,2022-11-29,/nfl/stat/1st-quarter-points-per-game
26,27,Washington,2.8,7.0,7.0,3.3,2.3,3.4,2022-11-29,/nfl/stat/1st-quarter-points-per-game
27,28,Arizona,2.4,4.3,7.0,2.8,2.0,5.9,2022-11-29,/nfl/stat/1st-quarter-points-per-game
28,29,New England,2.3,3.3,10.0,0.6,3.7,4.3,2022-11-29,/nfl/stat/1st-quarter-points-per-game
29,30,Indianapolis,2.0,4.7,0.0,2.3,1.7,6.3,2022-11-29,/nfl/stat/1st-quarter-points-per-game
30,31,Carolina,1.9,3.3,7.0,2.4,1.2,5.6,2022-11-29,/nfl/stat/1st-quarter-points-per-game
31,32,Houston,1.5,0.0,0.0,1.4,1.7,3.5,2022-11-29,/nfl/stat/1st-quarter-points-per-game
