,Date,Opponent,Result,Location,W/L,Div,Spread,Total,Money,asof,url
0,09/11,Pittsburgh,L 20-23,Home,0-1,0-1,-7.0,Un 45.0,-310,2022-09-22 18:18:12.114125,/nfl/team/cincinnati-bengals/
1,09/18,Dallas,L 17-20,Away,0-2,0-1,-7.0,Un 42.0,-295,2022-09-22 18:18:12.114125,/nfl/team/cincinnati-bengals/
2,09/25,NY Jets,1:00 pm,Away,,,-6.0,45.0,-245,2022-09-22 18:18:12.114125,/nfl/team/cincinnati-bengals/
3,09/29,Miami,8:15 pm,Home,,,-1.5,48.5,-120,2022-09-22 18:18:12.114125,/nfl/team/cincinnati-bengals/
4,10/09,Baltimore,8:20 pm,Away,,,+1.5,0,100,2022-09-22 18:18:12.114125,/nfl/team/cincinnati-bengals/
5,10/16,New Orleans,1:00 pm,Away,,,(Pick),0,-120,2022-09-22 18:18:12.114125,/nfl/team/cincinnati-bengals/
6,10/23,Atlanta,1:00 pm,Home,,,-7.5,0,-540,2022-09-22 18:18:12.114125,/nfl/team/cincinnati-bengals/
7,10/31,Cleveland,8:15 pm,Away,,,-3.0,0,-150,2022-09-22 18:18:12.114125,/nfl/team/cincinnati-bengals/
8,11/06,Carolina,1:00 pm,Home,,,-7.0,0,-285,2022-09-22 18:18:12.114125,/nfl/team/cincinnati-bengals/
9,11/20,Pittsburgh,8:20 pm,Away,,,-3.0,0,-140,2022-09-22 18:18:12.114125,/nfl/team/cincinnati-bengals/
10,11/27,Tennessee,1:00 pm,Away,,,+2.5,0,-110,2022-09-22 18:18:12.114125,/nfl/team/cincinnati-bengals/
11,12/04,Kansas City,4:25 pm,Home,,,+1.5,0,-110,2022-09-22 18:18:12.114125,/nfl/team/cincinnati-bengals/
12,12/11,Cleveland,1:00 pm,Home,,,-1.5,0,-120,2022-09-22 18:18:12.114125,/nfl/team/cincinnati-bengals/
13,12/18,Tampa Bay,4:25 pm,Away,,,+3.5,0,130,2022-09-22 18:18:12.114125,/nfl/team/cincinnati-bengals/
14,12/24,New England,1:00 pm,Away,,,+2.0,0,-120,2022-09-22 18:18:12.114125,/nfl/team/cincinnati-bengals/
15,01/02,Buffalo,8:30 pm,Home,,,(Pick),0,-110,2022-09-22 18:18:12.114125,/nfl/team/cincinnati-bengals/
16,01/08,Baltimore,12:00 pm,Home,,,-3.0,0,-165,2022-09-22 18:18:12.114125,/nfl/team/cincinnati-bengals/
