,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,Tennessee,33.80%,36.36%,42.42%,37.12%,31.01%,35.00%,2022-11-29,/nfl/stat/opponent-rushing-play-pct
1,2,Baltimore,34.17%,31.71%,32.79%,35.00%,33.51%,36.59%,2022-11-29,/nfl/stat/opponent-rushing-play-pct
2,3,Kansas City,37.18%,40.88%,50.91%,41.53%,32.32%,39.04%,2022-11-29,/nfl/stat/opponent-rushing-play-pct
3,4,Arizona,38.62%,33.70%,20.31%,38.40%,38.84%,42.77%,2022-11-29,/nfl/stat/opponent-rushing-play-pct
4,5,Miami,39.53%,41.05%,24.14%,32.11%,49.00%,39.32%,2022-11-29,/nfl/stat/opponent-rushing-play-pct
5,6,Buffalo,39.54%,36.92%,41.79%,37.45%,40.85%,42.60%,2022-11-29,/nfl/stat/opponent-rushing-play-pct
6,7,San Francisco,39.79%,34.44%,41.51%,31.71%,45.99%,41.31%,2022-11-29,/nfl/stat/opponent-rushing-play-pct
7,8,Pittsburgh,40.59%,37.21%,40.32%,40.19%,40.91%,44.03%,2022-11-29,/nfl/stat/opponent-rushing-play-pct
8,9,Philadelphia,40.75%,50.00%,42.86%,40.65%,40.85%,42.60%,2022-11-29,/nfl/stat/opponent-rushing-play-pct
9,10,Minnesota,40.85%,40.61%,23.64%,40.11%,41.69%,41.23%,2022-11-29,/nfl/stat/opponent-rushing-play-pct
10,11,LA Rams,41.05%,41.45%,41.67%,47.56%,34.72%,38.04%,2022-11-29,/nfl/stat/opponent-rushing-play-pct
11,12,New England,41.56%,41.14%,40.91%,47.35%,36.94%,45.15%,2022-11-29,/nfl/stat/opponent-rushing-play-pct
12,13,Tampa Bay,42.07%,40.00%,45.33%,45.73%,38.80%,33.71%,2022-11-29,/nfl/stat/opponent-rushing-play-pct
13,14,Denver,42.16%,49.73%,70.77%,37.12%,45.96%,42.44%,2022-11-29,/nfl/stat/opponent-rushing-play-pct
14,15,Washington,42.51%,41.67%,52.73%,39.83%,45.32%,40.38%,2022-11-29,/nfl/stat/opponent-rushing-play-pct
15,15,Jacksonville,42.51%,43.32%,51.47%,45.82%,40.05%,46.16%,2022-11-29,/nfl/stat/opponent-rushing-play-pct
16,17,Cincinnati,42.88%,36.63%,37.50%,42.52%,43.04%,37.19%,2022-11-29,/nfl/stat/opponent-rushing-play-pct
17,18,NY Jets,43.08%,43.75%,51.79%,42.90%,43.29%,45.85%,2022-11-29,/nfl/stat/opponent-rushing-play-pct
18,19,Las Vegas,43.45%,44.02%,36.51%,40.40%,45.17%,41.84%,2022-11-29,/nfl/stat/opponent-rushing-play-pct
19,20,NY Giants,43.98%,49.48%,56.52%,46.35%,41.32%,43.27%,2022-11-29,/nfl/stat/opponent-rushing-play-pct
20,21,Dallas,44.14%,44.25%,35.59%,45.08%,42.99%,40.79%,2022-11-29,/nfl/stat/opponent-rushing-play-pct
21,22,Atlanta,44.16%,65.79%,61.67%,43.73%,44.58%,46.59%,2022-11-29,/nfl/stat/opponent-rushing-play-pct
22,23,Cleveland,44.69%,44.10%,30.30%,36.29%,55.22%,41.38%,2022-11-29,/nfl/stat/opponent-rushing-play-pct
23,24,Detroit,44.90%,44.12%,39.19%,41.79%,49.04%,47.44%,2022-11-29,/nfl/stat/opponent-rushing-play-pct
24,25,Carolina,44.94%,40.44%,33.33%,41.37%,49.70%,46.11%,2022-11-29,/nfl/stat/opponent-rushing-play-pct
25,26,LA Chargers,45.20%,52.04%,53.13%,42.77%,47.27%,46.15%,2022-11-29,/nfl/stat/opponent-rushing-play-pct
26,27,New Orleans,45.49%,49.04%,43.28%,42.17%,48.39%,40.04%,2022-11-29,/nfl/stat/opponent-rushing-play-pct
27,28,Seattle,46.37%,49.53%,51.95%,44.55%,47.83%,42.38%,2022-11-29,/nfl/stat/opponent-rushing-play-pct
28,29,Indianapolis,48.20%,48.44%,53.73%,50.28%,46.27%,40.00%,2022-11-29,/nfl/stat/opponent-rushing-play-pct
29,30,Green Bay,50.82%,50.45%,62.03%,52.88%,49.43%,38.93%,2022-11-29,/nfl/stat/opponent-rushing-play-pct
30,31,Houston,51.22%,54.85%,36.11%,52.62%,50.00%,47.50%,2022-11-29,/nfl/stat/opponent-rushing-play-pct
31,32,Chicago,51.97%,55.17%,51.61%,49.48%,53.68%,47.87%,2022-11-29,/nfl/stat/opponent-rushing-play-pct
