,Date,Opponent,Result,Location,W/L,Div,Spread,Total,Money,asof,url
0,09/11,Cincinnati,W 23-20,Away,1-0,1-0,+7.0,Un 45.0,266,2022-10-05 17:00:07.518852,/nfl/team/pittsburgh-steelers/
1,09/18,New England,L 14-17,Home,1-1,1-0,+3.0,Un 40.0,141,2022-10-05 17:00:07.518852,/nfl/team/pittsburgh-steelers/
2,09/22,Cleveland,L 17-29,Away,1-2,1-1,+4.5,Ov 38.0,177,2022-10-05 17:00:07.518852,/nfl/team/pittsburgh-steelers/
3,10/02,NY Jets,L 20-24,Home,1-3,1-1,-3.0,Ov 41.0,-168,2022-10-05 17:00:07.518852,/nfl/team/pittsburgh-steelers/
4,10/09,Buffalo,1:00 pm,Away,,,+14.0,46.5,605,2022-10-05 17:00:07.518852,/nfl/team/pittsburgh-steelers/
5,10/16,Tampa Bay,1:00 pm,Home,,,+6.5,44.0,245,2022-10-05 17:00:07.518852,/nfl/team/pittsburgh-steelers/
6,10/23,Miami,8:20 pm,Away,,,+3.5,0,175,2022-10-05 17:00:07.518852,/nfl/team/pittsburgh-steelers/
7,10/30,Philadelphia,1:00 pm,Away,,,+4.5,0,155,2022-10-05 17:00:07.518852,/nfl/team/pittsburgh-steelers/
8,11/13,New Orleans,1:00 pm,Home,,,-1.0,0,-125,2022-10-05 17:00:07.518852,/nfl/team/pittsburgh-steelers/
9,11/20,Cincinnati,8:20 pm,Home,,,+3.0,0,120,2022-10-05 17:00:07.518852,/nfl/team/pittsburgh-steelers/
10,11/28,Indianapolis,8:15 pm,Away,,,+4.5,0,175,2022-10-05 17:00:07.518852,/nfl/team/pittsburgh-steelers/
11,12/04,Atlanta,1:00 pm,Away,,,-1.5,0,-140,2022-10-05 17:00:07.518852,/nfl/team/pittsburgh-steelers/
12,12/11,Baltimore,1:00 pm,Home,,,+3.0,0,110,2022-10-05 17:00:07.518852,/nfl/team/pittsburgh-steelers/
13,12/18,Carolina,1:00 pm,Away,,,(Pick),0,100,2022-10-05 17:00:07.518852,/nfl/team/pittsburgh-steelers/
14,12/24,Las Vegas,8:15 pm,Home,,,-1.5,0,110,2022-10-05 17:00:07.518852,/nfl/team/pittsburgh-steelers/
15,01/01,Baltimore,1:00 pm,Away,,,+5.5,0,205,2022-10-05 17:00:07.518852,/nfl/team/pittsburgh-steelers/
16,01/08,Cleveland,12:00 pm,Home,,,+2.5,0,115,2022-10-05 17:00:07.518852,/nfl/team/pittsburgh-steelers/
