,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,Tampa Bay,26.2,27.1,27.8,23.4,28.5,27.0,2022-11-29,/nfl/stat/seconds-per-play
1,2,LA Chargers,26.6,27.5,27.6,26.7,26.6,26.7,2022-11-29,/nfl/stat/seconds-per-play
2,3,Arizona,27.0,28.0,28.7,25.9,28.1,28.2,2022-11-29,/nfl/stat/seconds-per-play
3,4,Buffalo,27.2,27.1,25.5,28.3,26.6,28.5,2022-11-29,/nfl/stat/seconds-per-play
4,5,Minnesota,27.6,28.3,33.0,28.1,27.1,27.9,2022-11-29,/nfl/stat/seconds-per-play
5,6,Detroit,27.7,28.9,25.6,26.1,29.5,28.2,2022-11-29,/nfl/stat/seconds-per-play
6,7,Kansas City,28.0,27.1,27.0,27.6,28.6,27.9,2022-11-29,/nfl/stat/seconds-per-play
7,8,Dallas,28.0,28.2,29.7,27.5,28.6,26.9,2022-11-29,/nfl/stat/seconds-per-play
8,9,Indianapolis,28.1,28.0,24.8,28.4,27.8,31.1,2022-11-29,/nfl/stat/seconds-per-play
9,10,NY Jets,28.1,31.2,31.0,27.6,28.8,27.4,2022-11-29,/nfl/stat/seconds-per-play
10,11,Philadelphia,28.3,27.1,27.0,29.3,27.1,28.3,2022-11-29,/nfl/stat/seconds-per-play
11,12,Denver,28.4,26.8,24.2,28.2,28.5,30.3,2022-11-29,/nfl/stat/seconds-per-play
12,13,Pittsburgh,28.5,28.5,30.8,28.3,28.7,27.5,2022-11-29,/nfl/stat/seconds-per-play
13,14,Jacksonville,28.6,28.9,26.9,27.3,29.8,27.1,2022-11-29,/nfl/stat/seconds-per-play
14,15,Seattle,28.6,28.1,26.7,27.6,29.6,27.3,2022-11-29,/nfl/stat/seconds-per-play
15,16,New Orleans,28.7,30.1,28.5,29.8,27.5,29.7,2022-11-29,/nfl/stat/seconds-per-play
16,17,Cleveland,28.9,28.4,31.3,29.0,28.7,29.8,2022-11-29,/nfl/stat/seconds-per-play
17,18,NY Giants,29.0,26.5,26.3,28.3,29.9,27.9,2022-11-29,/nfl/stat/seconds-per-play
18,19,Carolina,29.2,32.1,34.2,30.2,27.7,28.3,2022-11-29,/nfl/stat/seconds-per-play
19,20,Miami,29.3,28.4,27.0,29.0,29.6,28.4,2022-11-29,/nfl/stat/seconds-per-play
20,21,Houston,29.4,27.7,28.5,29.8,29.0,28.5,2022-11-29,/nfl/stat/seconds-per-play
21,22,Washington,29.5,31.3,33.2,29.5,29.5,29.3,2022-11-29,/nfl/stat/seconds-per-play
22,23,Las Vegas,29.6,29.9,29.3,29.8,29.4,28.9,2022-11-29,/nfl/stat/seconds-per-play
23,24,Cincinnati,29.8,30.4,28.9,30.0,29.6,30.7,2022-11-29,/nfl/stat/seconds-per-play
24,25,LA Rams,29.9,28.6,30.1,29.8,30.1,28.5,2022-11-29,/nfl/stat/seconds-per-play
25,26,Chicago,30.2,30.8,29.9,29.3,30.8,28.8,2022-11-29,/nfl/stat/seconds-per-play
26,27,Green Bay,30.5,31.2,29.9,31.1,30.0,31.5,2022-11-29,/nfl/stat/seconds-per-play
27,28,Atlanta,30.5,27.7,29.3,30.6,30.4,28.6,2022-11-29,/nfl/stat/seconds-per-play
28,29,San Francisco,30.6,31.2,31.2,31.0,30.3,30.6,2022-11-29,/nfl/stat/seconds-per-play
29,30,New England,30.8,30.8,25.9,31.3,30.3,29.6,2022-11-29,/nfl/stat/seconds-per-play
30,31,Baltimore,31.2,31.3,28.8,31.3,31.0,28.6,2022-11-29,/nfl/stat/seconds-per-play
31,32,Tennessee,31.4,28.9,30.3,30.5,32.2,30.0,2022-11-29,/nfl/stat/seconds-per-play
