,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,Kansas City,325.9,326.7,320.0,327.0,324.6,299.8,2022-11-29,/nfl/stat/gross-passing-yards-per-game
1,2,Miami,305.8,303.0,305.0,290.3,324.4,231.5,2022-11-29,/nfl/stat/gross-passing-yards-per-game
2,3,Cincinnati,291.4,284.3,270.0,339.3,264.0,281.8,2022-11-29,/nfl/stat/gross-passing-yards-per-game
3,4,Buffalo,290.1,260.0,253.0,324.3,270.6,267.7,2022-11-29,/nfl/stat/gross-passing-yards-per-game
4,5,Tampa Bay,277.4,261.3,246.0,322.4,239.8,314.9,2022-11-29,/nfl/stat/gross-passing-yards-per-game
5,6,LA Chargers,273.1,250.0,274.0,277.4,269.5,294.9,2022-11-29,/nfl/stat/gross-passing-yards-per-game
6,7,Minnesota,259.8,275.3,310.0,259.5,260.2,261.8,2022-11-29,/nfl/stat/gross-passing-yards-per-game
7,8,Las Vegas,255.1,283.3,295.0,232.3,268.1,284.3,2022-11-29,/nfl/stat/gross-passing-yards-per-game
8,9,Seattle,254.7,292.7,328.0,251.4,257.5,224.4,2022-11-29,/nfl/stat/gross-passing-yards-per-game
9,10,New Orleans,249.7,217.3,204.0,225.2,274.2,202.2,2022-11-29,/nfl/stat/gross-passing-yards-per-game
10,11,Indianapolis,245.5,211.3,199.0,263.3,227.7,211.1,2022-11-29,/nfl/stat/gross-passing-yards-per-game
11,12,Detroit,244.4,213.7,240.0,258.8,227.0,228.5,2022-11-29,/nfl/stat/gross-passing-yards-per-game
12,13,San Francisco,243.2,230.0,222.0,250.8,236.8,248.6,2022-11-29,/nfl/stat/gross-passing-yards-per-game
13,14,Jacksonville,241.4,271.7,321.0,277.4,211.3,216.1,2022-11-29,/nfl/stat/gross-passing-yards-per-game
14,15,Arizona,240.5,235.3,191.0,223.2,257.8,264.2,2022-11-29,/nfl/stat/gross-passing-yards-per-game
15,16,Green Bay,239.0,234.7,253.0,238.0,239.7,263.9,2022-11-29,/nfl/stat/gross-passing-yards-per-game
16,17,Cleveland,237.1,248.7,210.0,238.8,235.0,212.9,2022-11-29,/nfl/stat/gross-passing-yards-per-game
17,18,Denver,235.8,225.0,142.0,229.8,240.8,226.8,2022-11-29,/nfl/stat/gross-passing-yards-per-game
18,19,New England,235.1,258.3,382.0,220.0,247.7,240.6,2022-11-29,/nfl/stat/gross-passing-yards-per-game
19,20,Philadelphia,234.8,172.7,153.0,221.3,251.0,213.5,2022-11-29,/nfl/stat/gross-passing-yards-per-game
20,21,NY Jets,228.5,182.0,315.0,271.3,177.2,232.9,2022-11-29,/nfl/stat/gross-passing-yards-per-game
21,22,LA Rams,225.3,179.3,106.0,246.8,199.4,291.5,2022-11-29,/nfl/stat/gross-passing-yards-per-game
22,23,Dallas,222.2,277.7,261.0,229.0,214.0,290.7,2022-11-29,/nfl/stat/gross-passing-yards-per-game
23,24,Washington,221.5,180.0,138.0,228.5,214.5,220.4,2022-11-29,/nfl/stat/gross-passing-yards-per-game
24,25,Pittsburgh,218.4,212.7,174.0,209.4,225.8,235.1,2022-11-29,/nfl/stat/gross-passing-yards-per-game
25,26,Houston,214.5,234.3,215.0,192.2,233.0,213.5,2022-11-29,/nfl/stat/gross-passing-yards-per-game
26,27,Baltimore,202.8,198.7,254.0,193.0,211.0,251.0,2022-11-29,/nfl/stat/gross-passing-yards-per-game
27,28,NY Giants,197.8,255.3,228.0,194.2,202.2,203.7,2022-11-29,/nfl/stat/gross-passing-yards-per-game
28,29,Tennessee,192.8,294.3,291.0,241.6,152.2,220.3,2022-11-29,/nfl/stat/gross-passing-yards-per-game
29,30,Carolina,188.9,156.0,164.0,189.4,188.2,210.2,2022-11-29,/nfl/stat/gross-passing-yards-per-game
30,31,Atlanta,171.0,163.7,174.0,166.0,176.0,234.5,2022-11-29,/nfl/stat/gross-passing-yards-per-game
31,32,Chicago,152.2,166.3,179.0,141.4,159.9,213.8,2022-11-29,/nfl/stat/gross-passing-yards-per-game
