,Date,Opponent,Result,Location,W/L,Div,Spread,Total,Money,asof,url
0,09/11,Jacksonville,W 28-22,Home,1-0,0-0,-3.0,Ov 43.0,-157,2022-10-18 18:07:44.103467,/nfl/team/washington-commanders/
1,09/18,Detroit,L 27-36,Away,1-1,0-0,(Pick),Ov 48.0,-115,2022-10-18 18:07:44.103467,/nfl/team/washington-commanders/
2,09/25,Philadelphia,L 8-24,Home,1-2,0-1,+5.5,Un 47.5,200,2022-10-18 18:07:44.103467,/nfl/team/washington-commanders/
3,10/02,Dallas,L 10-25,Away,1-3,0-2,+3.0,Un 41.0,140,2022-10-18 18:07:44.103467,/nfl/team/washington-commanders/
4,10/09,Tennessee,L 17-21,Home,1-4,0-2,+0.5,Un 43.0,-110,2022-10-18 18:07:44.103467,/nfl/team/washington-commanders/
5,10/13,Chicago,W 12-7,Away,2-4,0-2,-1.0,Un 38.5,-120,2022-10-18 18:07:44.103467,/nfl/team/washington-commanders/
6,10/23,Green Bay,1:00 pm,Home,,,+5.5,41.5,185,2022-10-18 18:07:44.103467,/nfl/team/washington-commanders/
7,10/30,Indianapolis,4:25 pm,Away,,,+5.5,42.0,198,2022-10-18 18:07:44.103467,/nfl/team/washington-commanders/
8,11/06,Minnesota,1:00 pm,Home,,,+2.0,0,-110,2022-10-18 18:07:44.103467,/nfl/team/washington-commanders/
9,11/14,Philadelphia,8:15 pm,Away,,,+4.0,0,145,2022-10-18 18:07:44.103467,/nfl/team/washington-commanders/
10,11/20,Houston,1:00 pm,Away,,,-3.0,0,-155,2022-10-18 18:07:44.103467,/nfl/team/washington-commanders/
11,11/27,Atlanta,1:00 pm,Home,,,-4.5,0,-210,2022-10-18 18:07:44.103467,/nfl/team/washington-commanders/
12,12/04,NY Giants,1:00 pm,Away,,,+1.0,0,-110,2022-10-18 18:07:44.103467,/nfl/team/washington-commanders/
13,12/18,NY Giants,12:00 pm,Home,,,-3.5,0,-175,2022-10-18 18:07:44.103467,/nfl/team/washington-commanders/
14,12/24,San Francisco,4:05 pm,Away,,,+6.5,0,195,2022-10-18 18:07:44.103467,/nfl/team/washington-commanders/
15,01/01,Cleveland,1:00 pm,Home,,,+3.0,0,135,2022-10-18 18:07:44.103467,/nfl/team/washington-commanders/
16,01/08,Dallas,12:00 pm,Home,,,+1.0,0,100,2022-10-18 18:07:44.103467,/nfl/team/washington-commanders/
