,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,Kansas City,29.6,27.7,26.0,25.0,35.2,29.4,2022-11-29,/nfl/stat/points-per-game
1,2,Buffalo,28.1,29.7,28.0,34.0,24.7,29.8,2022-11-29,/nfl/stat/points-per-game
2,3,Philadelphia,27.5,26.0,40.0,29.2,25.6,25.5,2022-11-29,/nfl/stat/points-per-game
3,4,Seattle,26.5,27.0,34.0,24.0,28.5,23.2,2022-11-29,/nfl/stat/points-per-game
4,5,Cincinnati,25.9,33.0,20.0,31.0,23.0,26.3,2022-11-29,/nfl/stat/points-per-game
5,6,Miami,25.6,34.7,30.0,23.7,28.0,20.1,2022-11-29,/nfl/stat/points-per-game
6,7,Dallas,25.4,32.0,28.0,24.8,26.0,30.4,2022-11-29,/nfl/stat/points-per-game
7,8,Detroit,25.0,29.0,25.0,30.5,18.4,19.1,2022-11-29,/nfl/stat/points-per-game
8,8,Baltimore,25.0,22.3,27.0,22.6,27.0,22.8,2022-11-29,/nfl/stat/points-per-game
9,10,Las Vegas,24.1,27.3,40.0,28.3,21.7,21.8,2022-11-29,/nfl/stat/points-per-game
10,11,Cleveland,23.9,21.0,23.0,26.2,21.2,20.5,2022-11-29,/nfl/stat/points-per-game
11,12,Minnesota,23.8,23.0,33.0,25.0,22.4,25.0,2022-11-29,/nfl/stat/points-per-game
12,13,LA Chargers,22.9,22.7,25.0,20.6,24.8,27.9,2022-11-29,/nfl/stat/points-per-game
13,14,Atlanta,22.7,18.3,13.0,26.3,19.0,18.4,2022-11-29,/nfl/stat/points-per-game
14,15,San Francisco,22.6,24.3,13.0,21.8,23.3,24.0,2022-11-29,/nfl/stat/points-per-game
15,16,Jacksonville,22.2,24.0,28.0,20.4,23.7,14.9,2022-11-29,/nfl/stat/points-per-game
16,17,Arizona,22.0,20.3,24.0,22.8,21.2,25.6,2022-11-29,/nfl/stat/points-per-game
17,18,New England,21.7,20.7,26.0,21.0,22.3,26.6,2022-11-29,/nfl/stat/points-per-game
18,19,Chicago,20.9,21.3,10.0,22.2,20.0,18.3,2022-11-29,/nfl/stat/points-per-game
19,20,NY Jets,20.9,18.0,31.0,21.5,20.2,18.2,2022-11-29,/nfl/stat/points-per-game
20,21,New Orleans,20.8,12.3,0.0,23.2,18.3,21.4,2022-11-29,/nfl/stat/points-per-game
21,22,NY Giants,20.5,20.7,20.0,20.2,20.8,15.2,2022-11-29,/nfl/stat/points-per-game
22,23,Green Bay,19.6,27.0,33.0,22.4,17.6,25.6,2022-11-29,/nfl/stat/points-per-game
23,24,Washington,19.4,24.7,19.0,18.7,20.2,19.7,2022-11-29,/nfl/stat/points-per-game
24,25,Carolina,19.2,17.0,23.0,20.9,16.8,17.9,2022-11-29,/nfl/stat/points-per-game
25,26,Tennessee,19.0,20.0,16.0,19.2,18.8,24.2,2022-11-29,/nfl/stat/points-per-game
26,27,Tampa Bay,18.2,18.0,17.0,20.4,16.3,29.9,2022-11-29,/nfl/stat/points-per-game
27,28,Pittsburgh,17.6,24.7,24.0,20.8,15.0,20.2,2022-11-29,/nfl/stat/points-per-game
28,29,LA Rams,16.2,15.7,10.0,17.7,14.4,27.0,2022-11-29,/nfl/stat/points-per-game
29,30,Indianapolis,15.8,19.3,17.0,20.0,11.7,26.5,2022-11-29,/nfl/stat/points-per-game
30,31,Houston,15.8,13.7,15.0,16.2,15.5,16.5,2022-11-29,/nfl/stat/points-per-game
31,32,Denver,14.3,12.0,10.0,12.2,16.0,19.7,2022-11-29,/nfl/stat/points-per-game
