,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,LA Chargers,15.3,15.7,18.0,16.0,14.7,13.0,2022-12-14,/nfl/stat/third-downs-per-game
1,2,Tampa Bay,14.5,15.3,16.0,14.3,14.7,13.2,2022-12-14,/nfl/stat/third-downs-per-game
2,3,Denver,14.2,14.3,17.0,15.2,13.4,12.5,2022-12-14,/nfl/stat/third-downs-per-game
3,4,NY Jets,14.2,15.0,17.0,13.7,14.6,12.5,2022-12-14,/nfl/stat/third-downs-per-game
4,5,Arizona,13.9,14.3,14.0,13.6,14.3,12.8,2022-12-14,/nfl/stat/third-downs-per-game
5,6,Washington,13.6,13.0,14.0,12.7,14.4,13.2,2022-12-14,/nfl/stat/third-downs-per-game
6,6,Cleveland,13.6,15.0,15.0,13.8,13.4,12.5,2022-12-14,/nfl/stat/third-downs-per-game
7,8,Pittsburgh,13.5,11.3,8.0,14.0,13.0,14.2,2022-12-14,/nfl/stat/third-downs-per-game
8,8,Minnesota,13.5,14.3,10.0,13.4,13.5,13.4,2022-12-14,/nfl/stat/third-downs-per-game
9,10,Indianapolis,13.4,13.3,13.0,13.7,13.1,12.4,2022-12-14,/nfl/stat/third-downs-per-game
10,11,Chicago,13.3,13.3,11.0,13.2,13.4,12.7,2022-12-14,/nfl/stat/third-downs-per-game
11,12,NY Giants,13.1,12.3,13.0,13.8,12.0,13.5,2022-12-14,/nfl/stat/third-downs-per-game
12,13,Dallas,13.0,13.0,15.0,12.4,14.0,13.4,2022-12-14,/nfl/stat/third-downs-per-game
13,14,San Francisco,12.8,13.7,9.0,14.1,11.2,11.6,2022-12-14,/nfl/stat/third-downs-per-game
14,14,Houston,12.8,13.3,15.0,12.5,13.0,14.1,2022-12-14,/nfl/stat/third-downs-per-game
15,14,Baltimore,12.8,13.3,13.0,12.8,12.7,13.2,2022-12-14,/nfl/stat/third-downs-per-game
16,14,Philadelphia,12.8,12.3,11.0,12.6,13.0,13.1,2022-12-14,/nfl/stat/third-downs-per-game
17,18,LA Rams,12.7,12.3,12.0,12.5,13.0,12.5,2022-12-14,/nfl/stat/third-downs-per-game
18,19,New Orleans,12.6,12.0,14.0,13.0,12.3,12.9,2022-12-14,/nfl/stat/third-downs-per-game
19,19,Jacksonville,12.6,12.7,13.0,14.0,11.8,12.5,2022-12-14,/nfl/stat/third-downs-per-game
20,21,Tennessee,12.5,13.3,10.0,12.5,12.6,13.6,2022-12-14,/nfl/stat/third-downs-per-game
21,21,New England,12.5,11.0,11.0,12.0,13.0,12.4,2022-12-14,/nfl/stat/third-downs-per-game
22,23,Cincinnati,12.5,13.3,15.0,13.0,12.0,12.5,2022-12-14,/nfl/stat/third-downs-per-game
23,24,Detroit,12.3,14.0,15.0,12.4,12.2,12.5,2022-12-14,/nfl/stat/third-downs-per-game
24,25,Carolina,12.1,12.3,13.0,12.7,11.3,13.8,2022-12-14,/nfl/stat/third-downs-per-game
25,26,Las Vegas,12.0,12.3,13.0,11.4,12.4,12.4,2022-12-14,/nfl/stat/third-downs-per-game
26,26,Buffalo,12.0,13.3,13.0,11.0,12.6,12.8,2022-12-14,/nfl/stat/third-downs-per-game
27,28,Green Bay,11.8,11.3,13.0,13.2,10.9,11.9,2022-12-14,/nfl/stat/third-downs-per-game
28,29,Kansas City,11.7,11.3,12.0,12.5,11.0,12.1,2022-12-14,/nfl/stat/third-downs-per-game
29,30,Miami,11.4,11.0,11.0,12.7,10.3,13.7,2022-12-14,/nfl/stat/third-downs-per-game
30,30,Seattle,11.4,10.7,13.0,12.8,10.1,11.4,2022-12-14,/nfl/stat/third-downs-per-game
31,32,Atlanta,10.8,9.7,10.0,11.1,10.3,12.4,2022-12-14,/nfl/stat/third-downs-per-game
