,Date,Opponent,Result,Location,W/L,Div,Spread,Total,Money,asof,url
0,09/11,Baltimore,L 9-24,Home,0-1,0-0,6.5,Un 44.0,240,2022-12-08 02:38:46.532196,/nfl/team/new-york-jets/
1,09/18,Cleveland,W 31-30,Away,1-1,0-0,6.0,Ov 38.5,205,2022-12-08 02:38:46.532196,/nfl/team/new-york-jets/
2,09/25,Cincinnati,L 12-27,Home,1-2,0-0,6.5,Un 46.0,220,2022-12-08 02:38:46.532196,/nfl/team/new-york-jets/
3,10/02,Pittsburgh,W 24-20,Away,2-2,0-0,3.0,Ov 41.0,148,2022-12-08 02:38:46.532196,/nfl/team/new-york-jets/
4,10/09,Miami,W 40-17,Home,3-2,1-0,3.0,Ov 46.0,145,2022-12-08 02:38:46.532196,/nfl/team/new-york-jets/
5,10/16,Green Bay,W 27-10,Away,4-2,1-0,7.5,Un 44.5,295,2022-12-08 02:38:46.532196,/nfl/team/new-york-jets/
6,10/23,Denver,W 16-9,Away,5-2,1-0,-2.0,Un 37.0,-125,2022-12-08 02:38:46.532196,/nfl/team/new-york-jets/
7,10/30,New England,L 17-22,Home,5-3,1-1,3.0,Un 40.0,140,2022-12-08 02:38:46.532196,/nfl/team/new-york-jets/
8,11/06,Buffalo,W 20-17,Home,6-3,2-1,10.5,Un 46.0,430,2022-12-08 02:38:46.532196,/nfl/team/new-york-jets/
9,11/20,New England,L 3-10,Away,6-4,2-2,3.5,Un 38.0,152,2022-12-08 02:38:46.532196,/nfl/team/new-york-jets/
10,11/27,Chicago,W 31-10,Home,7-4,2-2,-8.0,Ov 36.5,-338,2022-12-08 02:38:46.532196,/nfl/team/new-york-jets/
11,12/04,Minnesota,L 22-27,Away,7-5,2-2,3.0,Ov 44.0,134,2022-12-08 02:38:46.532196,/nfl/team/new-york-jets/
12,12/11,Buffalo,1:00 pm,Away,,,9.5,43.5,350,2022-12-08 02:38:46.532196,/nfl/team/new-york-jets/
13,12/18,Detroit,1:00 pm,Home,,,-2.5,48.0,-154,2022-12-08 02:38:46.532196,/nfl/team/new-york-jets/
14,12/22,Jacksonville,8:15 pm,Home,,,-3.0,0,-135,2022-12-08 02:38:46.532196,/nfl/team/new-york-jets/
15,01/01,Seattle,4:05 pm,Away,,,1.5,0,110,2022-12-08 02:38:46.532196,/nfl/team/new-york-jets/
16,01/08,Miami,12:00 pm,Away,,,5.5,0,205,2022-12-08 02:38:46.532196,/nfl/team/new-york-jets/
