,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,Buffalo,0.4,0.5,0.5,0.4,0.4,0.6,2022-11-16,/nfl/stat/punts-per-offensive-score
1,2,Kansas City,0.6,0.6,0.5,0.9,0.3,0.5,2022-11-16,/nfl/stat/punts-per-offensive-score
2,3,Cleveland,0.7,0.5,0.3,0.7,0.6,1.1,2022-11-16,/nfl/stat/punts-per-offensive-score
3,4,Baltimore,0.7,0.7,0.8,0.5,0.8,0.9,2022-11-16,/nfl/stat/punts-per-offensive-score
4,5,Miami,0.7,0.1,0.0,1.0,0.4,1.3,2022-11-16,/nfl/stat/punts-per-offensive-score
5,6,Seattle,0.7,1.1,1.7,0.9,0.6,1.3,2022-11-16,/nfl/stat/punts-per-offensive-score
6,7,Las Vegas,0.8,2.0,1.7,0.7,0.8,0.8,2022-11-16,/nfl/stat/punts-per-offensive-score
7,8,Detroit,0.8,0.8,0.8,0.6,1.1,1.1,2022-11-16,/nfl/stat/punts-per-offensive-score
8,9,Cincinnati,0.8,0.7,0.5,0.6,1.0,0.8,2022-11-16,/nfl/stat/punts-per-offensive-score
9,10,Philadelphia,0.9,0.8,1.0,0.8,0.9,0.7,2022-11-16,/nfl/stat/punts-per-offensive-score
10,11,San Francisco,0.9,0.5,0.8,0.6,1.1,0.8,2022-11-16,/nfl/stat/punts-per-offensive-score
11,12,Chicago,0.9,0.7,0.6,1.1,0.7,1.1,2022-11-16,/nfl/stat/punts-per-offensive-score
12,13,Jacksonville,0.9,1.4,2.0,0.9,0.9,1.5,2022-11-16,/nfl/stat/punts-per-offensive-score
13,14,New England,0.9,1.1,1.2,0.8,1.1,0.6,2022-11-16,/nfl/stat/punts-per-offensive-score
14,15,Atlanta,0.9,1.0,1.7,0.8,1.1,1.1,2022-11-16,/nfl/stat/punts-per-offensive-score
15,16,LA Chargers,1.0,1.3,1.3,1.2,0.8,0.6,2022-11-16,/nfl/stat/punts-per-offensive-score
16,17,Arizona,1.0,1.1,1.0,1.2,0.9,0.7,2022-11-16,/nfl/stat/punts-per-offensive-score
17,18,New Orleans,1.0,1.3,2.5,0.9,1.2,1.2,2022-11-16,/nfl/stat/punts-per-offensive-score
18,18,Minnesota,1.0,0.9,0.5,0.8,1.2,1.0,2022-11-16,/nfl/stat/punts-per-offensive-score
19,20,Dallas,1.0,0.8,1.3,1.0,1.0,0.7,2022-11-16,/nfl/stat/punts-per-offensive-score
20,21,NY Giants,1.1,1.2,1.5,1.1,1.0,1.4,2022-11-16,/nfl/stat/punts-per-offensive-score
21,22,NY Jets,1.2,1.4,0.8,1.1,1.3,1.2,2022-11-16,/nfl/stat/punts-per-offensive-score
22,23,Tampa Bay,1.2,1.1,0.7,1.1,1.2,0.7,2022-11-16,/nfl/stat/punts-per-offensive-score
23,24,Green Bay,1.2,0.7,0.8,1.0,1.5,0.7,2022-11-16,/nfl/stat/punts-per-offensive-score
24,25,Carolina,1.3,0.9,0.8,1.2,1.3,1.3,2022-11-16,/nfl/stat/punts-per-offensive-score
25,26,Indianapolis,1.4,1.6,0.6,0.7,2.1,0.7,2022-11-16,/nfl/stat/punts-per-offensive-score
26,27,Houston,1.4,1.9,1.3,1.7,1.2,1.7,2022-11-16,/nfl/stat/punts-per-offensive-score
27,28,Pittsburgh,1.5,1.4,0.8,1.1,1.9,1.2,2022-11-16,/nfl/stat/punts-per-offensive-score
28,29,Washington,1.5,1.0,0.3,1.6,1.4,1.0,2022-11-16,/nfl/stat/punts-per-offensive-score
29,30,LA Rams,1.5,2.4,1.7,1.4,1.6,0.6,2022-11-16,/nfl/stat/punts-per-offensive-score
30,31,Tennessee,1.7,2.3,2.7,1.3,2.2,0.8,2022-11-16,/nfl/stat/punts-per-offensive-score
31,32,Denver,1.9,3.0,4.5,2.4,1.6,1.1,2022-11-16,/nfl/stat/punts-per-offensive-score
