,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,Tennessee,53.1,53.3,53.8,55.5,51.3,44.1,2022-11-29,/nfl/stat/gross-yards-per-successful-punt
1,2,Jacksonville,51.2,54.2,68.7,53.9,49.3,47.0,2022-11-29,/nfl/stat/gross-yards-per-successful-punt
2,3,Kansas City,50.7,46.4,49.0,51.1,49.6,46.1,2022-11-29,/nfl/stat/gross-yards-per-successful-punt
3,4,Las Vegas,50.6,52.0,45.5,54.5,48.0,50.0,2022-11-29,/nfl/stat/gross-yards-per-successful-punt
4,5,Seattle,49.3,50.5,47.8,48.9,49.6,46.9,2022-11-29,/nfl/stat/gross-yards-per-successful-punt
5,6,LA Rams,49.1,47.9,45.0,47.8,50.3,44.2,2022-11-29,/nfl/stat/gross-yards-per-successful-punt
6,7,Detroit,48.8,48.1,51.5,50.8,46.6,49.2,2022-11-29,/nfl/stat/gross-yards-per-successful-punt
7,8,Carolina,48.8,46.0,51.0,49.3,48.1,43.6,2022-11-29,/nfl/stat/gross-yards-per-successful-punt
8,9,Houston,48.8,48.1,50.0,47.9,49.6,46.7,2022-11-29,/nfl/stat/gross-yards-per-successful-punt
9,10,Tampa Bay,48.7,53.2,47.2,51.8,46.4,43.3,2022-11-29,/nfl/stat/gross-yards-per-successful-punt
10,11,Dallas,48.7,49.8,51.0,48.5,49.1,48.7,2022-11-29,/nfl/stat/gross-yards-per-successful-punt
11,12,Buffalo,48.4,49.8,49.3,48.0,48.7,42.9,2022-11-29,/nfl/stat/gross-yards-per-successful-punt
12,13,Cleveland,48.0,49.7,54.8,48.0,48.0,43.0,2022-11-29,/nfl/stat/gross-yards-per-successful-punt
13,14,New Orleans,47.9,48.6,45.8,46.1,49.5,47.7,2022-11-29,/nfl/stat/gross-yards-per-successful-punt
14,15,NY Giants,47.8,42.0,48.3,46.0,50.2,44.4,2022-11-29,/nfl/stat/gross-yards-per-successful-punt
15,16,NY Jets,47.7,48.2,59.0,47.1,48.1,46.8,2022-11-29,/nfl/stat/gross-yards-per-successful-punt
16,17,Washington,47.3,43.5,42.3,47.3,47.2,48.1,2022-11-29,/nfl/stat/gross-yards-per-successful-punt
17,18,Minnesota,47.1,49.6,52.7,47.2,47.1,46.5,2022-11-29,/nfl/stat/gross-yards-per-successful-punt
18,19,Chicago,47.1,44.4,48.8,45.1,48.5,46.2,2022-11-29,/nfl/stat/gross-yards-per-successful-punt
19,20,Arizona,46.9,47.3,50.0,47.2,46.6,48.8,2022-11-29,/nfl/stat/gross-yards-per-successful-punt
20,21,Denver,46.6,48.3,52.4,44.9,48.1,46.0,2022-11-29,/nfl/stat/gross-yards-per-successful-punt
21,22,Baltimore,46.5,41.4,53.0,43.8,48.8,44.4,2022-11-29,/nfl/stat/gross-yards-per-successful-punt
22,23,Atlanta,46.4,39.5,40.7,47.9,44.8,46.1,2022-11-29,/nfl/stat/gross-yards-per-successful-punt
23,24,Miami,46.3,49.6,49.3,46.7,45.2,44.7,2022-11-29,/nfl/stat/gross-yards-per-successful-punt
24,25,Philadelphia,46.0,45.0,52.0,46.1,45.9,43.7,2022-11-29,/nfl/stat/gross-yards-per-successful-punt
25,26,Cincinnati,45.2,49.2,51.8,44.2,45.6,45.6,2022-11-29,/nfl/stat/gross-yards-per-successful-punt
26,27,Indianapolis,45.1,50.1,50.0,48.2,43.2,44.5,2022-11-29,/nfl/stat/gross-yards-per-successful-punt
27,28,Green Bay,45.0,43.2,41.5,46.3,43.9,46.6,2022-11-29,/nfl/stat/gross-yards-per-successful-punt
28,29,Pittsburgh,44.5,44.5,45.5,44.6,44.4,44.0,2022-11-29,/nfl/stat/gross-yards-per-successful-punt
29,30,San Francisco,44.2,43.8,43.8,39.1,47.7,44.6,2022-11-29,/nfl/stat/gross-yards-per-successful-punt
30,31,LA Chargers,43.2,41.5,39.0,46.1,41.0,45.2,2022-11-29,/nfl/stat/gross-yards-per-successful-punt
31,32,New England,42.5,41.8,41.0,43.1,41.9,47.3,2022-11-29,/nfl/stat/gross-yards-per-successful-punt
