,Date,Opponent,Result,Location,W/L,Div,Spread,Total,Money,asof,url
0,09/11,New Orleans,L 26-27,Home,0-1,0-1,5.5,Ov 43.5,195,2022-11-17 04:05:43.777002,/nfl/team/atlanta-falcons/
1,09/18,LA Rams,L 27-31,Away,0-2,0-1,10.5,Ov 46.0,395,2022-11-17 04:05:43.777002,/nfl/team/atlanta-falcons/
2,09/25,Seattle,W 27-23,Away,1-2,0-1,1.0,Ov 43.5,-104,2022-11-17 04:05:43.777002,/nfl/team/atlanta-falcons/
3,10/02,Cleveland,W 23-20,Home,2-2,0-1,1.0,Un 48.5,-101,2022-11-17 04:05:43.777002,/nfl/team/atlanta-falcons/
4,10/09,Tampa Bay,L 15-21,Away,2-3,0-2,10.0,Un 46.0,390,2022-11-17 04:05:43.777002,/nfl/team/atlanta-falcons/
5,10/16,San Francisco,W 28-14,Home,3-3,0-2,3.5,Un 45.5,165,2022-11-17 04:05:43.777002,/nfl/team/atlanta-falcons/
6,10/23,Cincinnati,L 17-35,Away,3-4,0-2,6.5,Ov 47.5,230,2022-11-17 04:05:43.777002,/nfl/team/atlanta-falcons/
7,10/30,Carolina,W 37-34,Home,4-4,1-2,-4.0,Ov 41.5,-210,2022-11-17 04:05:43.777002,/nfl/team/atlanta-falcons/
8,11/06,LA Chargers,L 17-20,Home,4-5,1-2,2.5,Un 49.5,120,2022-11-17 04:05:43.777002,/nfl/team/atlanta-falcons/
9,11/10,Carolina,L 15-25,Away,4-6,1-3,-2.5,Un 41.5,-142,2022-11-17 04:05:43.777002,/nfl/team/atlanta-falcons/
10,11/20,Chicago,1:00 pm,Home,,,-3.0,49.0,-170,2022-11-17 04:05:43.777002,/nfl/team/atlanta-falcons/
11,11/27,Washington,1:00 pm,Away,,,3.0,42.0,150,2022-11-17 04:05:43.777002,/nfl/team/atlanta-falcons/
12,12/04,Pittsburgh,1:00 pm,Home,,,1.5,0,120,2022-11-17 04:05:43.777002,/nfl/team/atlanta-falcons/
13,12/18,New Orleans,12:00 pm,Away,,,8.0,0,255,2022-11-17 04:05:43.777002,/nfl/team/atlanta-falcons/
14,12/24,Baltimore,1:00 pm,Away,,,8.5,0,350,2022-11-17 04:05:43.777002,/nfl/team/atlanta-falcons/
15,01/01,Arizona,1:00 pm,Home,,,3.5,0,150,2022-11-17 04:05:43.777002,/nfl/team/atlanta-falcons/
16,01/08,Tampa Bay,12:00 pm,Home,,,7.5,0,290,2022-11-17 04:05:43.777002,/nfl/team/atlanta-falcons/
