,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,Arizona,0.5,0.0,0.0,0.5,0.6,0.2,2023-01-11,/nfl/stat/two-point-conversion-attempts-per-game
1,2,Washington,0.4,0.3,0.0,0.3,0.5,0.5,2023-01-11,/nfl/stat/two-point-conversion-attempts-per-game
2,2,Jacksonville,0.4,0.0,0.0,0.3,0.5,0.3,2023-01-11,/nfl/stat/two-point-conversion-attempts-per-game
3,2,Tampa Bay,0.4,0.7,0.0,0.8,0.1,0.2,2023-01-11,/nfl/stat/two-point-conversion-attempts-per-game
4,5,Cincinnati,0.4,1.0,0.0,0.1,0.6,0.3,2023-01-11,/nfl/stat/two-point-conversion-attempts-per-game
5,6,NY Giants,0.4,0.7,1.0,0.2,0.5,0.3,2023-01-11,/nfl/stat/two-point-conversion-attempts-per-game
6,7,Detroit,0.3,0.3,0.0,0.4,0.1,0.3,2023-01-11,/nfl/stat/two-point-conversion-attempts-per-game
7,7,Chicago,0.3,0.3,1.0,0.2,0.4,0.2,2023-01-11,/nfl/stat/two-point-conversion-attempts-per-game
8,7,Houston,0.3,0.7,1.0,0.1,0.4,0.1,2023-01-11,/nfl/stat/two-point-conversion-attempts-per-game
9,7,Kansas City,0.3,0.3,0.0,0.4,0.2,0.2,2023-01-11,/nfl/stat/two-point-conversion-attempts-per-game
10,7,Indianapolis,0.3,0.0,0.0,0.3,0.3,0.4,2023-01-11,/nfl/stat/two-point-conversion-attempts-per-game
11,12,New Orleans,0.2,0.0,0.0,0.1,0.3,0.3,2023-01-11,/nfl/stat/two-point-conversion-attempts-per-game
12,12,Las Vegas,0.2,0.0,0.0,0.1,0.3,0.2,2023-01-11,/nfl/stat/two-point-conversion-attempts-per-game
13,12,New England,0.2,0.7,1.0,0.3,0.2,0.2,2023-01-11,/nfl/stat/two-point-conversion-attempts-per-game
14,12,Carolina,0.2,0.0,0.0,0.3,0.1,0.2,2023-01-11,/nfl/stat/two-point-conversion-attempts-per-game
15,12,Philadelphia,0.2,0.0,0.0,0.2,0.3,0.4,2023-01-11,/nfl/stat/two-point-conversion-attempts-per-game
16,12,Minnesota,0.2,0.0,0.0,0.2,0.3,0.4,2023-01-11,/nfl/stat/two-point-conversion-attempts-per-game
17,18,Buffalo,0.2,0.7,0.0,0.1,0.2,0.4,2023-01-11,/nfl/stat/two-point-conversion-attempts-per-game
18,19,Atlanta,0.2,0.0,0.0,0.0,0.4,0.2,2023-01-11,/nfl/stat/two-point-conversion-attempts-per-game
19,19,Pittsburgh,0.2,0.3,1.0,0.3,0.1,0.3,2023-01-11,/nfl/stat/two-point-conversion-attempts-per-game
20,19,Cleveland,0.2,0.0,0.0,0.3,0.1,0.2,2023-01-11,/nfl/stat/two-point-conversion-attempts-per-game
21,19,Green Bay,0.2,0.0,0.0,0.1,0.2,0.2,2023-01-11,/nfl/stat/two-point-conversion-attempts-per-game
22,23,Dallas,0.1,0.0,0.0,0.1,0.1,0.6,2023-01-11,/nfl/stat/two-point-conversion-attempts-per-game
23,23,Miami,0.1,0.0,0.0,0.1,0.1,0.2,2023-01-11,/nfl/stat/two-point-conversion-attempts-per-game
24,23,Denver,0.1,0.3,0.0,0.1,0.1,0.2,2023-01-11,/nfl/stat/two-point-conversion-attempts-per-game
25,23,LA Chargers,0.1,0.3,1.0,0.0,0.2,0.6,2023-01-11,/nfl/stat/two-point-conversion-attempts-per-game
26,23,Baltimore,0.1,0.3,0.0,0.1,0.1,0.5,2023-01-11,/nfl/stat/two-point-conversion-attempts-per-game
27,23,Seattle,0.1,0.0,0.0,0.0,0.3,0.2,2023-01-11,/nfl/stat/two-point-conversion-attempts-per-game
28,29,Tennessee,0.1,0.0,0.0,0.1,0.0,0.2,2023-01-11,/nfl/stat/two-point-conversion-attempts-per-game
29,30,San Francisco,0.0,0.0,0.0,0.0,0.0,0.1,2023-01-11,/nfl/stat/two-point-conversion-attempts-per-game
30,30,NY Jets,0.0,0.0,0.0,0.0,0.0,0.5,2023-01-11,/nfl/stat/two-point-conversion-attempts-per-game
31,30,LA Rams,0.0,0.0,0.0,0.0,0.0,0.2,2023-01-11,/nfl/stat/two-point-conversion-attempts-per-game
