,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,Tampa Bay,3.48%,2.96%,6.52%,3.13%,3.88%,3.52%,2022-11-29,/nfl/stat/qb-sacked-pct
1,2,Kansas City,3.68%,0.89%,0.00%,4.01%,3.19%,4.43%,2022-11-29,/nfl/stat/qb-sacked-pct
2,3,Dallas,3.92%,1.85%,0.00%,4.71%,3.01%,5.21%,2022-11-29,/nfl/stat/qb-sacked-pct
3,4,Detroit,4.45%,4.30%,5.13%,3.65%,5.52%,5.72%,2022-11-29,/nfl/stat/qb-sacked-pct
4,5,LA Chargers,4.52%,9.52%,7.84%,4.82%,4.25%,4.40%,2022-11-29,/nfl/stat/qb-sacked-pct
5,6,Jacksonville,5.16%,7.69%,9.76%,2.07%,7.94%,5.03%,2022-11-29,/nfl/stat/qb-sacked-pct
6,7,San Francisco,5.22%,2.08%,2.63%,4.71%,5.67%,5.92%,2022-11-29,/nfl/stat/qb-sacked-pct
7,8,Buffalo,5.23%,5.88%,6.67%,3.36%,6.19%,3.89%,2022-11-29,/nfl/stat/qb-sacked-pct
8,9,Las Vegas,5.46%,3.48%,2.70%,4.17%,6.14%,5.93%,2022-11-29,/nfl/stat/qb-sacked-pct
9,10,Miami,5.49%,5.45%,10.87%,7.52%,3.11%,6.11%,2022-11-29,/nfl/stat/qb-sacked-pct
10,11,Green Bay,5.53%,6.67%,10.71%,6.29%,5.02%,5.76%,2022-11-29,/nfl/stat/qb-sacked-pct
11,12,New Orleans,6.10%,7.53%,3.23%,7.77%,4.55%,6.84%,2022-11-29,/nfl/stat/qb-sacked-pct
12,13,Cleveland,6.11%,6.61%,9.76%,6.19%,6.01%,8.61%,2022-11-29,/nfl/stat/qb-sacked-pct
13,14,Arizona,6.14%,5.17%,3.33%,5.71%,6.54%,6.16%,2022-11-29,/nfl/stat/qb-sacked-pct
14,15,Minnesota,6.18%,9.23%,2.56%,6.01%,6.36%,4.73%,2022-11-29,/nfl/stat/qb-sacked-pct
15,16,NY Jets,6.48%,8.43%,3.33%,5.81%,7.50%,8.08%,2022-11-29,/nfl/stat/qb-sacked-pct
16,17,Baltimore,6.94%,7.45%,3.03%,6.08%,7.58%,8.53%,2022-11-29,/nfl/stat/qb-sacked-pct
17,18,Seattle,7.09%,7.14%,7.50%,7.94%,6.25%,8.50%,2022-11-29,/nfl/stat/qb-sacked-pct
18,19,Carolina,7.18%,6.85%,0.00%,8.33%,5.70%,7.99%,2022-11-29,/nfl/stat/qb-sacked-pct
19,20,Washington,7.36%,3.66%,0.00%,7.62%,7.08%,7.25%,2022-11-29,/nfl/stat/qb-sacked-pct
20,21,Pittsburgh,7.49%,9.91%,9.68%,9.04%,6.40%,5.35%,2022-11-29,/nfl/stat/qb-sacked-pct
21,22,Cincinnati,7.81%,4.46%,2.63%,7.60%,7.94%,9.59%,2022-11-29,/nfl/stat/qb-sacked-pct
22,23,Philadelphia,8.05%,7.06%,6.67%,8.33%,7.74%,5.79%,2022-11-29,/nfl/stat/qb-sacked-pct
23,24,Houston,8.23%,11.38%,11.36%,10.29%,6.64%,7.46%,2022-11-29,/nfl/stat/qb-sacked-pct
24,25,Tennessee,8.33%,4.81%,2.86%,3.85%,13.19%,7.91%,2022-11-29,/nfl/stat/qb-sacked-pct
25,26,New England,8.54%,11.93%,7.14%,9.21%,8.06%,5.13%,2022-11-29,/nfl/stat/qb-sacked-pct
26,27,Denver,8.61%,10.00%,7.89%,7.69%,9.42%,6.88%,2022-11-29,/nfl/stat/qb-sacked-pct
27,28,Indianapolis,8.85%,7.84%,8.11%,7.14%,10.48%,5.79%,2022-11-29,/nfl/stat/qb-sacked-pct
28,29,Atlanta,8.91%,7.41%,3.85%,4.86%,12.58%,6.53%,2022-11-29,/nfl/stat/qb-sacked-pct
29,30,LA Rams,9.18%,10.10%,11.11%,7.82%,11.11%,4.83%,2022-11-29,/nfl/stat/qb-sacked-pct
30,31,NY Giants,9.38%,7.69%,7.89%,9.33%,9.43%,6.02%,2022-11-29,/nfl/stat/qb-sacked-pct
31,32,Chicago,14.19%,12.00%,7.41%,13.49%,14.71%,9.67%,2022-11-29,/nfl/stat/qb-sacked-pct
