,Date,Opponent,Result,Location,W/L,Div,Spread,Total,Money,asof,url
0,09/11,Carolina,W 26-24,Away,1-0,0-0,1.5,Ov 42.0,110,2022-10-11 16:28:35.056226,/nfl/team/cleveland-browns/
1,09/18,NY Jets,L 30-31,Home,1-1,0-0,-6.0,Ov 38.5,-245,2022-10-11 16:28:35.056226,/nfl/team/cleveland-browns/
2,09/22,Pittsburgh,W 29-17,Home,2-1,1-0,-4.5,Ov 38.0,-210,2022-10-11 16:28:35.056226,/nfl/team/cleveland-browns/
3,10/02,Atlanta,L 20-23,Away,2-2,1-0,-1.0,Un 48.5,-109,2022-10-11 16:28:35.056226,/nfl/team/cleveland-browns/
4,10/09,LA Chargers,L 28-30,Home,2-3,1-0,1.5,Ov 47.0,103,2022-10-11 16:28:35.056226,/nfl/team/cleveland-browns/
5,10/16,New England,1:00 pm,Home,,,-3.0,42.5,-150,2022-10-11 16:28:35.056226,/nfl/team/cleveland-browns/
6,10/23,Baltimore,1:00 pm,Away,,,6.0,44.5,215,2022-10-11 16:28:35.056226,/nfl/team/cleveland-browns/
7,10/31,Cincinnati,8:15 pm,Home,,,3.0,0,130,2022-10-11 16:28:35.056226,/nfl/team/cleveland-browns/
8,11/13,Miami,1:00 pm,Away,,,4.5,0,180,2022-10-11 16:28:35.056226,/nfl/team/cleveland-browns/
9,11/20,Buffalo,1:00 pm,Away,,,9.0,0,330,2022-10-11 16:28:35.056226,/nfl/team/cleveland-browns/
10,11/27,Tampa Bay,1:00 pm,Home,,,3.5,0,160,2022-10-11 16:28:35.056226,/nfl/team/cleveland-browns/
11,12/04,Houston,1:00 pm,Away,,,-6.0,0,-245,2022-10-11 16:28:35.056226,/nfl/team/cleveland-browns/
12,12/11,Cincinnati,1:00 pm,Away,,,1.5,0,100,2022-10-11 16:28:35.056226,/nfl/team/cleveland-browns/
13,12/18,Baltimore,12:00 pm,Home,,,-1.0,0,-115,2022-10-11 16:28:35.056226,/nfl/team/cleveland-browns/
14,12/24,New Orleans,1:00 pm,Home,,,-3.0,0,-155,2022-10-11 16:28:35.056226,/nfl/team/cleveland-browns/
15,01/01,Washington,1:00 pm,Away,,,-3.0,0,-155,2022-10-11 16:28:35.056226,/nfl/team/cleveland-browns/
16,01/08,Pittsburgh,12:00 pm,Away,,,-2.5,0,-135,2022-10-11 16:28:35.056226,/nfl/team/cleveland-browns/
