,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,Dallas,6.9,7.0,7.0,7.2,6.6,9.8,2022-11-29,/nfl/stat/opponent-2nd-half-points-per-game
1,1,Denver,6.9,10.7,13.0,5.4,8.2,9.2,2022-11-29,/nfl/stat/opponent-2nd-half-points-per-game
2,3,Buffalo,7.4,14.7,11.0,7.5,7.3,8.8,2022-11-29,/nfl/stat/opponent-2nd-half-points-per-game
3,4,Cincinnati,7.7,12.3,6.0,6.8,8.3,9.0,2022-11-29,/nfl/stat/opponent-2nd-half-points-per-game
4,5,San Francisco,7.8,0.0,0.0,8.0,7.7,10.7,2022-11-29,/nfl/stat/opponent-2nd-half-points-per-game
5,6,NY Jets,7.9,3.3,0.0,7.2,8.8,13.9,2022-11-29,/nfl/stat/opponent-2nd-half-points-per-game
6,7,Indianapolis,8.3,11.7,8.0,8.0,8.7,12.0,2022-11-29,/nfl/stat/opponent-2nd-half-points-per-game
7,8,Philadelphia,8.5,10.3,13.0,8.2,9.0,10.4,2022-11-29,/nfl/stat/opponent-2nd-half-points-per-game
8,9,Jacksonville,9.4,8.3,18.0,7.0,11.3,12.3,2022-11-29,/nfl/stat/opponent-2nd-half-points-per-game
9,9,New England,9.4,6.7,17.0,7.8,10.7,8.4,2022-11-29,/nfl/stat/opponent-2nd-half-points-per-game
10,11,Washington,9.4,6.7,3.0,8.2,10.7,11.6,2022-11-29,/nfl/stat/opponent-2nd-half-points-per-game
11,12,Chicago,9.6,15.0,14.0,10.6,8.9,13.2,2022-11-29,/nfl/stat/opponent-2nd-half-points-per-game
12,13,Atlanta,9.7,9.3,9.0,11.2,8.2,14.2,2022-11-29,/nfl/stat/opponent-2nd-half-points-per-game
13,14,Miami,10.0,13.3,15.0,8.5,11.8,11.8,2022-11-29,/nfl/stat/opponent-2nd-half-points-per-game
14,15,Tampa Bay,10.2,9.7,7.0,11.6,9.0,9.9,2022-11-29,/nfl/stat/opponent-2nd-half-points-per-game
15,15,Kansas City,10.2,8.0,7.0,9.5,11.0,10.7,2022-11-29,/nfl/stat/opponent-2nd-half-points-per-game
16,17,Pittsburgh,10.5,11.3,14.0,10.0,10.8,12.8,2022-11-29,/nfl/stat/opponent-2nd-half-points-per-game
17,18,Tennessee,10.6,7.0,10.0,10.6,10.7,10.7,2022-11-29,/nfl/stat/opponent-2nd-half-points-per-game
18,18,Houston,10.6,6.7,0.0,10.4,10.8,14.4,2022-11-29,/nfl/stat/opponent-2nd-half-points-per-game
19,20,New Orleans,10.8,6.3,3.0,11.3,10.2,9.8,2022-11-29,/nfl/stat/opponent-2nd-half-points-per-game
20,21,NY Giants,10.9,16.0,21.0,11.2,10.6,12.1,2022-11-29,/nfl/stat/opponent-2nd-half-points-per-game
21,22,Las Vegas,11.2,10.7,14.0,13.0,10.1,12.6,2022-11-29,/nfl/stat/opponent-2nd-half-points-per-game
22,22,Minnesota,11.2,11.0,10.0,12.0,10.2,13.0,2022-11-29,/nfl/stat/opponent-2nd-half-points-per-game
23,24,Seattle,11.3,10.3,10.0,7.0,14.8,11.6,2022-11-29,/nfl/stat/opponent-2nd-half-points-per-game
24,25,Green Bay,11.3,13.3,13.0,13.6,9.7,9.9,2022-11-29,/nfl/stat/opponent-2nd-half-points-per-game
25,26,LA Rams,12.5,13.3,13.0,13.7,11.2,11.8,2022-11-29,/nfl/stat/opponent-2nd-half-points-per-game
26,27,LA Chargers,12.8,12.0,7.0,14.2,11.7,15.1,2022-11-29,/nfl/stat/opponent-2nd-half-points-per-game
27,28,Carolina,12.9,9.7,7.0,12.6,13.4,13.2,2022-11-29,/nfl/stat/opponent-2nd-half-points-per-game
28,29,Baltimore,13.1,10.3,18.0,13.6,12.7,12.2,2022-11-29,/nfl/stat/opponent-2nd-half-points-per-game
29,30,Arizona,13.3,15.3,11.0,14.3,12.3,10.3,2022-11-29,/nfl/stat/opponent-2nd-half-points-per-game
30,31,Cleveland,14.6,15.7,7.0,13.5,16.0,12.0,2022-11-29,/nfl/stat/opponent-2nd-half-points-per-game
31,32,Detroit,16.3,14.3,11.0,16.5,16.0,13.4,2022-11-29,/nfl/stat/opponent-2nd-half-points-per-game
