,Date,Opponent,Result,Location,W/L,Div,Spread,Total,Money,asof,url
0,09/11,Philadelphia,L 35-38,Home,0-1,0-0,+6.0,Ov 49.0,210,2022-10-11 16:28:39.252341,/nfl/team/detroit-lions/
1,09/18,Washington,W 36-27,Home,1-1,0-0,(Pick),Ov 48.0,-105,2022-10-11 16:28:39.252341,/nfl/team/detroit-lions/
2,09/25,Minnesota,L 24-28,Away,1-2,0-1,+6.5,Ov 51.5,230,2022-10-11 16:28:39.252341,/nfl/team/detroit-lions/
3,10/02,Seattle,L 45-48,Home,1-3,0-1,-3.5,Ov 48.5,-170,2022-10-11 16:28:39.252341,/nfl/team/detroit-lions/
4,10/09,New England,L 0-29,Away,1-4,0-1,+3.0,Un 47.0,135,2022-10-11 16:28:39.252341,/nfl/team/detroit-lions/
5,10/23,Dallas,1:00 pm,Away,,,+7.5,47.5,265,2022-10-11 16:28:39.252341,/nfl/team/detroit-lions/
6,10/30,Miami,1:00 pm,Home,,,+3.0,0,125,2022-10-11 16:28:39.252341,/nfl/team/detroit-lions/
7,11/06,Green Bay,1:00 pm,Home,,,+4.5,0,205,2022-10-11 16:28:39.252341,/nfl/team/detroit-lions/
8,11/13,Chicago,1:00 pm,Away,,,+2.0,0,105,2022-10-11 16:28:39.252341,/nfl/team/detroit-lions/
9,11/20,NY Giants,1:00 pm,Away,,,+2.5,0,105,2022-10-11 16:28:39.252341,/nfl/team/detroit-lions/
10,11/24,Buffalo,12:30 pm,Home,,,+8.5,0,328,2022-10-11 16:28:39.252341,/nfl/team/detroit-lions/
11,12/04,Jacksonville,1:00 pm,Home,,,-2.5,0,-130,2022-10-11 16:28:39.252341,/nfl/team/detroit-lions/
12,12/11,Minnesota,1:00 pm,Home,,,+3.0,0,110,2022-10-11 16:28:39.252341,/nfl/team/detroit-lions/
13,12/18,NY Jets,1:00 pm,Away,,,+1.5,0,115,2022-10-11 16:28:39.252341,/nfl/team/detroit-lions/
14,12/24,Carolina,1:00 pm,Away,,,+3.5,0,160,2022-10-11 16:28:39.252341,/nfl/team/detroit-lions/
15,01/01,Chicago,1:00 pm,Home,,,-1.5,0,-130,2022-10-11 16:28:39.252341,/nfl/team/detroit-lions/
16,01/08,Green Bay,12:00 pm,Away,,,+8.0,0,330,2022-10-11 16:28:39.252341,/nfl/team/detroit-lions/
