,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,Dallas,177.7,176.0,210.0,175.2,180.8,234.5,2022-11-29,/nfl/stat/opponent-passing-yards-per-game
1,2,Philadelphia,183.6,199.7,236.0,183.8,183.4,222.2,2022-11-29,/nfl/stat/opponent-passing-yards-per-game
2,3,Denver,184.7,235.3,164.0,187.2,182.7,214.8,2022-11-29,/nfl/stat/opponent-passing-yards-per-game
3,4,Green Bay,187.8,239.7,137.0,166.6,203.0,212.8,2022-11-29,/nfl/stat/opponent-passing-yards-per-game
4,5,Indianapolis,190.6,185.3,151.0,183.2,198.0,234.1,2022-11-29,/nfl/stat/opponent-passing-yards-per-game
5,6,Tampa Bay,192.0,186.7,178.0,189.2,194.3,245.3,2022-11-29,/nfl/stat/opponent-passing-yards-per-game
6,7,New Orleans,197.3,190.3,221.0,195.0,199.7,224.8,2022-11-29,/nfl/stat/opponent-passing-yards-per-game
7,8,NY Jets,197.5,182.0,165.0,189.8,206.8,259.4,2022-11-29,/nfl/stat/opponent-passing-yards-per-game
8,9,New England,198.5,129.3,301.0,130.2,255.5,193.8,2022-11-29,/nfl/stat/opponent-passing-yards-per-game
9,10,Washington,201.6,154.0,165.0,221.3,181.8,254.9,2022-11-29,/nfl/stat/opponent-passing-yards-per-game
10,11,San Francisco,202.3,210.3,197.0,236.2,174.0,213.1,2022-11-29,/nfl/stat/opponent-passing-yards-per-game
11,12,Chicago,206.1,222.3,308.0,201.6,209.3,191.6,2022-11-29,/nfl/stat/opponent-passing-yards-per-game
12,13,Carolina,212.5,157.0,125.0,212.0,213.2,192.1,2022-11-29,/nfl/stat/opponent-passing-yards-per-game
13,14,Cleveland,216.1,237.0,229.0,243.8,182.8,202.3,2022-11-29,/nfl/stat/opponent-passing-yards-per-game
14,14,Cincinnati,216.1,231.3,281.0,189.0,231.6,248.7,2022-11-29,/nfl/stat/opponent-passing-yards-per-game
15,16,NY Giants,216.3,237.3,261.0,190.8,246.8,225.8,2022-11-29,/nfl/stat/opponent-passing-yards-per-game
16,17,Houston,216.4,213.3,273.0,225.2,209.0,242.2,2022-11-29,/nfl/stat/opponent-passing-yards-per-game
17,18,LA Chargers,217.4,245.7,185.0,238.2,200.0,221.2,2022-11-29,/nfl/stat/opponent-passing-yards-per-game
18,19,Buffalo,221.6,293.3,230.0,235.3,213.9,176.7,2022-11-29,/nfl/stat/opponent-passing-yards-per-game
19,20,LA Rams,226.1,258.3,320.0,187.7,272.2,238.0,2022-11-29,/nfl/stat/opponent-passing-yards-per-game
20,21,Kansas City,233.5,190.7,82.0,207.7,264.4,251.5,2022-11-29,/nfl/stat/opponent-passing-yards-per-game
21,22,Miami,233.8,158.3,174.0,222.7,247.2,227.7,2022-11-29,/nfl/stat/opponent-passing-yards-per-game
22,23,Seattle,234.9,230.3,293.0,229.6,239.3,265.5,2022-11-29,/nfl/stat/opponent-passing-yards-per-game
23,24,Arizona,245.4,221.3,246.0,289.2,201.7,215.6,2022-11-29,/nfl/stat/opponent-passing-yards-per-game
24,25,Jacksonville,248.1,277.3,253.0,199.4,288.7,227.9,2022-11-29,/nfl/stat/opponent-passing-yards-per-game
25,26,Las Vegas,253.0,247.0,307.0,247.0,256.4,223.0,2022-11-29,/nfl/stat/opponent-passing-yards-per-game
26,27,Baltimore,253.8,219.3,294.0,248.8,258.0,278.9,2022-11-29,/nfl/stat/opponent-passing-yards-per-game
27,28,Atlanta,255.6,122.3,138.0,239.7,271.5,232.5,2022-11-29,/nfl/stat/opponent-passing-yards-per-game
28,29,Detroit,259.9,237.0,237.0,292.7,220.6,244.7,2022-11-29,/nfl/stat/opponent-passing-yards-per-game
29,30,Pittsburgh,263.7,227.7,180.0,246.8,277.8,223.8,2022-11-29,/nfl/stat/opponent-passing-yards-per-game
30,31,Tennessee,266.7,243.0,266.0,239.4,289.5,247.2,2022-11-29,/nfl/stat/opponent-passing-yards-per-game
31,32,Minnesota,276.1,327.3,364.0,277.5,274.4,252.9,2022-11-29,/nfl/stat/opponent-passing-yards-per-game
