,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,Kansas City,3.7,3.0,3.0,3.0,4.4,3.6,2022-11-23,/nfl/stat/touchdowns-per-game
1,2,Philadelphia,3.4,3.0,2.0,3.6,3.2,2.9,2022-11-23,/nfl/stat/touchdowns-per-game
2,3,Cincinnati,3.2,4.0,4.0,4.0,2.7,2.9,2022-11-23,/nfl/stat/touchdowns-per-game
3,4,Detroit,3.1,3.3,4.0,4.0,2.2,2.1,2022-11-23,/nfl/stat/touchdowns-per-game
4,4,Miami,3.1,4.7,5.0,2.6,3.6,2.3,2022-11-23,/nfl/stat/touchdowns-per-game
5,4,Buffalo,3.1,2.3,2.0,4.0,2.5,3.6,2022-11-23,/nfl/stat/touchdowns-per-game
6,7,Seattle,2.9,3.0,2.0,2.0,3.5,2.9,2022-11-23,/nfl/stat/touchdowns-per-game
7,8,Dallas,2.8,5.0,4.0,2.8,2.8,3.7,2022-11-23,/nfl/stat/touchdowns-per-game
8,8,San Francisco,2.8,3.7,5.0,2.5,3.0,2.8,2022-11-23,/nfl/stat/touchdowns-per-game
9,8,Cleveland,2.8,3.0,3.0,3.4,2.2,2.5,2022-11-23,/nfl/stat/touchdowns-per-game
10,11,Baltimore,2.7,2.3,1.0,2.2,3.2,2.4,2022-11-23,/nfl/stat/touchdowns-per-game
11,11,Minnesota,2.7,2.0,0.0,3.0,2.4,2.8,2022-11-23,/nfl/stat/touchdowns-per-game
12,13,Atlanta,2.6,2.3,3.0,2.8,2.4,1.9,2022-11-23,/nfl/stat/touchdowns-per-game
13,14,New Orleans,2.5,1.7,3.0,2.5,2.6,2.5,2022-11-23,/nfl/stat/touchdowns-per-game
14,14,Arizona,2.5,2.3,1.0,2.6,2.5,2.9,2022-11-23,/nfl/stat/touchdowns-per-game
15,16,Jacksonville,2.5,2.3,2.0,2.0,2.8,1.6,2022-11-23,/nfl/stat/touchdowns-per-game
16,17,Chicago,2.5,3.7,3.0,2.8,2.2,1.9,2022-11-23,/nfl/stat/touchdowns-per-game
17,18,Las Vegas,2.4,2.3,2.0,3.3,1.8,2.1,2022-11-23,/nfl/stat/touchdowns-per-game
18,18,LA Chargers,2.4,2.0,3.0,2.2,2.6,3.4,2022-11-23,/nfl/stat/touchdowns-per-game
19,20,Tennessee,2.3,2.7,4.0,2.0,2.5,2.8,2022-11-23,/nfl/stat/touchdowns-per-game
20,21,New England,2.2,1.3,1.0,2.0,2.4,2.9,2022-11-23,/nfl/stat/touchdowns-per-game
21,21,NY Giants,2.2,2.3,3.0,2.2,2.3,1.4,2022-11-23,/nfl/stat/touchdowns-per-game
22,23,Washington,2.2,2.3,2.0,2.2,2.2,2.2,2022-11-23,/nfl/stat/touchdowns-per-game
23,23,Green Bay,2.2,2.3,2.0,2.6,1.8,3.1,2022-11-23,/nfl/stat/touchdowns-per-game
24,25,NY Jets,2.1,1.3,0.0,2.0,2.2,2.1,2022-11-23,/nfl/stat/touchdowns-per-game
25,26,Carolina,2.0,1.7,0.0,2.2,1.8,1.9,2022-11-23,/nfl/stat/touchdowns-per-game
26,27,LA Rams,1.8,1.7,2.0,2.2,1.3,3.0,2022-11-23,/nfl/stat/touchdowns-per-game
27,28,Tampa Bay,1.7,2.0,3.0,2.0,1.4,3.7,2022-11-23,/nfl/stat/touchdowns-per-game
28,29,Pittsburgh,1.6,2.0,3.0,2.0,1.2,2.1,2022-11-23,/nfl/stat/touchdowns-per-game
29,30,Houston,1.5,1.3,1.0,1.8,1.2,1.8,2022-11-23,/nfl/stat/touchdowns-per-game
30,31,Indianapolis,1.5,1.3,1.0,2.0,1.0,3.1,2022-11-23,/nfl/stat/touchdowns-per-game
31,32,Denver,1.3,1.7,1.0,0.8,1.8,2.2,2022-11-23,/nfl/stat/touchdowns-per-game
