,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,Kansas City,29.1,28.0,26.0,24.2,35.0,28.3,2022-11-29,/nfl/stat/offensive-points-per-game
1,2,Buffalo,27.3,29.7,27.0,32.3,24.4,29.5,2022-11-29,/nfl/stat/offensive-points-per-game
2,3,Philadelphia,27.2,26.3,41.0,29.8,24.0,23.3,2022-11-29,/nfl/stat/offensive-points-per-game
3,4,Cincinnati,26.0,33.0,20.0,31.0,23.1,25.8,2022-11-29,/nfl/stat/offensive-points-per-game
4,5,Seattle,25.5,27.3,34.0,24.0,26.7,22.8,2022-11-29,/nfl/stat/offensive-points-per-game
5,6,Baltimore,24.4,22.0,26.0,21.2,27.0,22.2,2022-11-29,/nfl/stat/offensive-points-per-game
6,7,Dallas,24.3,32.0,28.0,23.8,24.8,27.2,2022-11-29,/nfl/stat/offensive-points-per-game
7,8,Miami,24.1,30.7,23.0,21.8,26.8,17.6,2022-11-29,/nfl/stat/offensive-points-per-game
8,9,Detroit,24.0,26.3,24.0,29.8,17.0,19.0,2022-11-29,/nfl/stat/offensive-points-per-game
9,10,Cleveland,23.7,21.7,24.0,25.7,21.4,19.7,2022-11-29,/nfl/stat/offensive-points-per-game
10,11,Las Vegas,23.5,28.3,41.0,25.3,22.4,22.1,2022-11-29,/nfl/stat/offensive-points-per-game
11,12,Minnesota,22.8,19.0,27.0,24.0,21.4,23.9,2022-11-29,/nfl/stat/offensive-points-per-game
12,13,LA Chargers,22.6,22.3,24.0,20.2,24.7,27.3,2022-11-29,/nfl/stat/offensive-points-per-game
13,14,Jacksonville,21.5,23.7,27.0,20.2,22.7,14.0,2022-11-29,/nfl/stat/offensive-points-per-game
14,14,San Francisco,21.5,24.7,13.0,20.6,22.3,23.2,2022-11-29,/nfl/stat/offensive-points-per-game
15,16,Chicago,21.3,21.7,10.0,22.6,20.4,16.9,2022-11-29,/nfl/stat/offensive-points-per-game
16,17,NY Giants,20.7,21.7,20.0,20.7,20.8,14.6,2022-11-29,/nfl/stat/offensive-points-per-game
17,18,New Orleans,20.6,12.3,0.0,23.0,18.2,21.3,2022-11-29,/nfl/stat/offensive-points-per-game
18,19,NY Jets,20.2,18.0,31.0,21.3,18.8,17.7,2022-11-29,/nfl/stat/offensive-points-per-game
19,20,Atlanta,20.2,16.7,13.0,22.8,17.5,17.5,2022-11-29,/nfl/stat/offensive-points-per-game
20,21,New England,19.3,16.0,26.0,17.0,21.2,25.6,2022-11-29,/nfl/stat/offensive-points-per-game
21,22,Arizona,19.2,20.3,24.0,19.2,19.2,25.0,2022-11-29,/nfl/stat/offensive-points-per-game
22,23,Green Bay,19.0,27.3,34.0,22.4,16.6,24.9,2022-11-29,/nfl/stat/offensive-points-per-game
23,24,Washington,18.5,20.7,20.0,18.7,18.3,18.9,2022-11-29,/nfl/stat/offensive-points-per-game
24,25,Tennessee,17.8,18.0,9.0,16.4,19.0,22.8,2022-11-29,/nfl/stat/offensive-points-per-game
25,26,Carolina,17.8,17.3,23.0,19.4,15.4,17.4,2022-11-29,/nfl/stat/offensive-points-per-game
26,27,Tampa Bay,17.7,18.0,17.0,20.6,15.3,29.5,2022-11-29,/nfl/stat/offensive-points-per-game
27,28,Pittsburgh,16.8,24.3,23.0,20.6,13.7,19.6,2022-11-29,/nfl/stat/offensive-points-per-game
28,29,LA Rams,16.2,15.7,10.0,17.7,14.4,26.4,2022-11-29,/nfl/stat/offensive-points-per-game
29,30,Houston,16.0,14.3,17.0,16.2,15.8,15.6,2022-11-29,/nfl/stat/offensive-points-per-game
30,30,Indianapolis,16.0,20.0,17.0,20.0,12.0,25.3,2022-11-29,/nfl/stat/offensive-points-per-game
31,32,Denver,14.4,12.0,10.0,12.2,16.2,19.4,2022-11-29,/nfl/stat/offensive-points-per-game
